variable_name,value_value,value_label,avail_from_dt,table_name
CW1_PATIENT,9,8,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_PATIENT,10,9,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_PATIENT,11,Always,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,1,Not at all trusting,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,2,1,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,3,2,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,4,3,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,5,4,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,6,5,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,7,6,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,8,7,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,9,8,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,10,9,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUST,11,Extremely trusting,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,1,Not at all trusting,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,2,1,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,3,2,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,4,3,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,5,4,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,6,5,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,7,6,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,8,7,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,9,8,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,10,9,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_TRUSTPOLP,11,Extremely trusting,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_1,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_1,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_1,1,More than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_1,2,Same - no change,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_1,3,Less than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_2,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_2,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_2,1,More than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_2,2,Same - no change,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_2,3,Less than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_3,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_3,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_3,1,More than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_3,2,Same - no change,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_3,3,Less than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_4,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_4,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_4,1,More than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_4,2,Same - no change,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_CVDCHNG_4,3,Less than before,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,1,North East,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,2,North West,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,3,Yorkshire and the Humber,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,4,East Midlands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,5,West Midlands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,6,East of England,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,7,London,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,8,South East,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,9,South West,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,10,Wales,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,11,Scotland,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,12,Northern Ireland,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,13,Channel Islands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION,14,Isle of Man,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,1,North East,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,2,North West,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,3,Yorkshire and the Humber,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,4,East Midlands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,5,West Midlands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,6,East of England,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,7,London,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,8,South East,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,9,South West,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,10,Wales,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,11,Scotland,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,12,Northern Ireland,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,13,Channel Islands,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_REGION_ORIG,14,Isle of Man,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_DESIGNWEIGHT,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_DESIGNWEIGHT,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SAMPPSU,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SAMPPSU,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SAMPSTRATUM,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SAMPSTRATUM,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_PTTYPE2,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_PTTYPE2,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SPTN00,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_SPTN00,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_NH2,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_NH2,-1,Not applicable,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
CW1_WEIGHT2,-8,No information,2022-01-02 16:54:21.100,COVID_w1_v0001_20211101
