,Source,Block Name,Variable Name,Variable Description,Value,Value Description
747314,MCS,COVID_w2,study_id_e,,,
747315,MCS,COVID_w2,pnum,None,,
747316,MCS,COVID_w2,cw2_cnum00,Cohort Member number within an MCS family,-1.0,Not applicable
747317,MCS,COVID_w2,cw2_cnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
747318,MCS,COVID_w2,cw2_cnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
747319,MCS,COVID_w2,cw2_cnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
747320,MCS,COVID_w2,cw2_pnum00,Person number within an MCS family (excl Cohort Members,-1.0,Not applicable
747321,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,-1.0,Not Applicable
747322,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,1.0,NCDS
747323,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,2.0,BCS70
747324,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,3.0,Next Steps
747325,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,4.0,MCS CM
747326,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,5.0,MCS Parent
747327,MCS,COVID_w2,cw2_cohort,Cohort group of respondent,6.0,NSHD
747328,MCS,COVID_w2,cw2_psex,Sex of respondent,-1.0,Not Applicable
747329,MCS,COVID_w2,cw2_psex,Sex of respondent,1.0,Male
747330,MCS,COVID_w2,cw2_psex,Sex of respondent,2.0,Female
747331,MCS,COVID_w2,cw2_emigrant,Recorded as Emigrant (based on COUNTRES),-1.0,Not Applicable
747332,MCS,COVID_w2,cw2_emigrant,Recorded as Emigrant (based on COUNTRES),1.0,Yes
747333,MCS,COVID_w2,cw2_emigrant,Recorded as Emigrant (based on COUNTRES),2.0,No
747334,MCS,COVID_w2,cw2_enddated,Date in 2020 of survey completion,-9.0,Don't want to answer
747335,MCS,COVID_w2,cw2_enddated,Date in 2020 of survey completion,-8.0,Donâ€™t Know
