variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
PNUM,Person number whithin an MCS family (excluding Cohort Members),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FDWRK00,S6 DV Whether respondent is in work or not,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
BPJBSO00A1,Main job (coded SOC2000) - truncated to 3 digits,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FPSOCC00,SOC2010 coding - truncated to 3-digits,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
ADD05S00,Respondent NS-SEC 5 classes,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
ADD07S00,Respondent NS-SEC 7 classes,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
ADD13S00,Respondent NS-SEC major categories,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
BDD11E00,Respondent's Ethnic Group - 11 category Census,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FD05S00,S6 DV NS-SEC 5 category (current job),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FD07S00,S6 DV NS-SEC 7 category (current job),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FD13S00,S6 DV NS-SEC 13 category (current job),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FD17S00,S6 DV NS-SEC full version (current job),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FDACAQ00,S6 DV NVQ equivalent of highest academic level across sweeps,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FDACT00,S6 DV Respondent economic activity status,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
FDNVQ00,S6 DV Respondent NVQ Highest Level (all sweeps),2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
GPFCIN00,What is your current legal marital status?,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
GPMAFI00,How well would you say you are managing financially these days? Would you say you are...?,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
GPROOW00,Do you [ROOW] own or rent your home or have some other arrangement?,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
BDD05S00,Respondent NS-SEC 5 classes,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
BDD07S00,Respondent NS-SEC 7 classes,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
BDD13S00,Respondent NS-SEC major categories,2022-01-02 20:09:47.070,basic_demographic_parent_v0001_20211101
