,Source,Block Name,Variable Name,Variable Description,Value,Value Description
759599,MCS,mcs1_parent_derived,study_id_e,,,
759600,MCS,mcs1_parent_derived,pnum,Person Number for Main or (Proxy)Partner respondent,-1.0,Not applicable
759601,MCS,mcs1_parent_derived,aelig00,Eligibility for Interview,-1.0,Not applicable
759602,MCS,mcs1_parent_derived,aelig00,Eligibility for Interview,1.0,Main Interview
759603,MCS,mcs1_parent_derived,aelig00,Eligibility for Interview,2.0,Partner Interview
759604,MCS,mcs1_parent_derived,aelig00,Eligibility for Interview,3.0,Partner Proxy Interview
759605,MCS,mcs1_parent_derived,aelig00,Eligibility for Interview,4.0,Not eligible for interview
759606,MCS,mcs1_parent_derived,aresp00,Response to Interview,-1.0,Not applicable
759607,MCS,mcs1_parent_derived,aresp00,Response to Interview,1.0,Main Interview
759608,MCS,mcs1_parent_derived,aresp00,Response to Interview,2.0,Partner Interview
759609,MCS,mcs1_parent_derived,aresp00,Response to Interview,3.0,Partner Proxy Interview
759610,MCS,mcs1_parent_derived,aresp00,Response to Interview,4.0,No interview
759611,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,1.0,Natural mother: interviewed
759612,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,2.0,Natural father: interviewed
759613,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,3.0,Adoptive mother: interviewed
759614,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,4.0,Adoptive father: interviewed
759615,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,5.0,Foster mother: interviewed
759616,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,6.0,Foster father: interviewed
759617,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,7.0,Step mother/partner of father: interviewed
759618,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,8.0,Step father/partner of mother: interviewed
759619,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,9.0,Grandmother: interviewed
759620,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,10.0,Grandfather: interviewed
759621,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,11.0,Natural mother: by proxy
759622,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,12.0,Natural father: by proxy
759623,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,13.0,Step mother: by proxy
759624,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,14.0,Step father: by proxy
759625,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,15.0,Natural mother: not interviewed
759626,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,16.0,Natural father: not interviewed
759627,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,17.0,Adoptive mother: not interviewed
759628,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,18.0,Adoptive father: not interviewed
759629,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,19.0,Foster mother: not interviewed
759630,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,20.0,Foster father: not interviewed
759631,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,21.0,Step mother: not interviewed
759632,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,22.0,Step father: not interviewed
759633,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,23.0,"Natural mother: by proxy, not interviewed"
759634,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,24.0,"Natural father: by proxy, not interviewed"
759635,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,25.0,Other female non-relative: interviewed
759636,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,26.0,Other male non-relative: interviewed
759637,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,27.0,Other female non-relative: not interviewed
759638,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,28.0,Other male non-relative: not interviewed
759639,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,29.0,"Step mother: by proxy, not interviewed"
759640,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,30.0,"Step father: by proxy, not interviewed"
759641,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,31.0,Other female relative: interviewed
759642,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,32.0,Other male relative: interviewed
759643,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,33.0,"Female, unknown relationship: interviewed"
759644,MCS,mcs1_parent_derived,addres00,respondent identity and interview status,34.0,"Male, unknown relationship: interviewed"
759645,MCS,mcs1_parent_derived,addagi00,Respondent Age at Interview,-9.0,Refusal
759646,MCS,mcs1_parent_derived,addagi00,Respondent Age at Interview,-2.0,Not known
759647,MCS,mcs1_parent_derived,addagi00,Respondent Age at Interview,-1.0,Not applicable
759648,MCS,mcs1_parent_derived,addgai00,Respondent Age at Interview (grouped),-9.0,Refusal
759649,MCS,mcs1_parent_derived,addgai00,Respondent Age at Interview (grouped),-2.0,Not known
759650,MCS,mcs1_parent_derived,addgai00,Respondent Age at Interview (grouped),-1.0,Not applicable
759651,MCS,mcs1_parent_derived,addagb00,Respondent age at birth of CM,-2.0,Not known
759652,MCS,mcs1_parent_derived,addagb00,Respondent age at birth of CM,-1.0,Not applicable
759653,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),-2.0,Not known
759654,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),-1.0,Not applicable
759655,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),1.0,12 to 19
759656,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),2.0,20 to 29
759657,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),3.0,30 to 39
759658,MCS,mcs1_parent_derived,addgab00,Respondent age at birth of CM (grouped),4.0,40 plus
759659,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),-9.0,Refusal
759660,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),-8.0,Don't Know
759661,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),-1.0,Not applicable
759662,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),1.0,White - British
759663,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),2.0,White - Irish
759664,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),3.0,Any other White background
759665,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),4.0,Mixed - White and Black Caribbean
759666,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),5.0,Mixed - White and Black African
759667,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),6.0,Mixed - White and Asian
759668,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),7.0,Any other mixed background
759669,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),8.0,Asian/Asian British - Indian
759670,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),9.0,Asian/Asian British - Pakistani
759671,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),10.0,Asian/Asian British - Bangladeshi
759672,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),11.0,Any other Asian background
759673,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),12.0,Black/Black British - Caribbean
759674,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),13.0,Black/Black British - African
759675,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),14.0,Any other Black background
759676,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),15.0,Chinese
759677,MCS,mcs1_parent_derived,addeea00,Respondent's Ethnic Group inc back-coding (England),95.0,Any other background
759678,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],3.0,White - Irish
759679,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],4.0,Any other White background
759680,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],5.0,Mixed - White and Black Caribbean
759681,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],6.0,Mixed - White and Black African
759682,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],7.0,Mixed - White and Asian
759683,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],8.0,Any other mixed background
759684,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],9.0,Asian/Asian British - Indian
759685,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],10.0,Asian/Asian British - Pakistani
759686,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],11.0,Asian/Asian British - Bangladeshi
759687,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],12.0,Any other Asian background
759688,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],13.0,Black/Black British - Caribbean
759689,MCS,mcs1_parent_derived,addewa00_r30,Respondent's Ethnic Group inc back-coding (Wales)    [counts less than 30 recoded],14.0,Black/Black British - African
