,Source,Block Name,Variable Name,Variable Description,Value,Value Description
770083,MCS,mcs2_cm_cognitive_assessment,study_id_e,,,
770084,MCS,mcs2_cm_cognitive_assessment,pnum,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
770085,MCS,mcs2_cm_cognitive_assessment,pnum,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
770086,MCS,mcs2_cm_cognitive_assessment,pnum,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
770087,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,-7.0,Not carried out
770088,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,-1.0,Not applicable
770089,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,1.0,Ages 2:6-2:8
770090,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,2.0,Ages 2:9-2:11
770091,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,3.0,Ages 3:0-3:2
770092,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,4.0,Ages 3:3-3:5'
770093,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,5.0,Ages 3:6-3:8'
770094,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,6.0,Ages 3:9-3:11'
770095,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,7.0,Ages 4:0-4:2'
770096,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,8.0,Ages 4:3-4:5'
770097,MCS,mcs2_cm_cognitive_assessment,bcasag00,Age in years:months for BAS scoring,9.0,Ages 4:6-4:8
770098,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,-7.0,Not carried out
770099,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,-1.0,Not applicable
770100,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,1.0,Ages 2:6:0-2:8:30
770101,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,2.0,Ages 2:9:0-2:11:30
770102,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,3.0,Ages 3:0:0-3:2:30
770103,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,4.0,Ages 3:3:0-3:5:30
770104,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,5.0,Ages 3:6:0-3:8:30
770105,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,6.0,Ages 3:9:0-3:11:30
770106,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,7.0,Ages 4:0:0-4:2:30
770107,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,8.0,Ages 4:3:0-4:5:30
770108,MCS,mcs2_cm_cognitive_assessment,bcrknage,DV Age in years:months for Bracken scoring,9.0,Ages 4:6:0-4:8:30
770109,MCS,mcs2_cm_cognitive_assessment,bccass00,CM Child Assessments completed,-1.0,Not applicable
770110,MCS,mcs2_cm_cognitive_assessment,bccass00,CM Child Assessments completed,0.0,Child Assessments not completed
770111,MCS,mcs2_cm_cognitive_assessment,bccass00,CM Child Assessments completed,1.0,Both Child Assessments completed
770112,MCS,mcs2_cm_cognitive_assessment,bccass00,CM Child Assessments completed,2.0,Child Assessments BRAKEN only completed
770113,MCS,mcs2_cm_cognitive_assessment,bccass00,CM Child Assessments completed,3.0,Child Assessments BAS only completed
770114,MCS,mcs2_cm_cognitive_assessment,bcmeas00,CM Child Measurements completed,-1.0,Not applicable
770115,MCS,mcs2_cm_cognitive_assessment,bcmeas00,CM Child Measurements completed,0.0,Child Measurements not completed
770116,MCS,mcs2_cm_cognitive_assessment,bcmeas00,CM Child Measurements completed,1.0,Both Child Measurements completed
770117,MCS,mcs2_cm_cognitive_assessment,bcmeas00,CM Child Measurements completed,2.0,Child Measurements weight only complete
770118,MCS,mcs2_cm_cognitive_assessment,bcmeas00,CM Child Measurements completed,3.0,Child Measurements height only complete
770119,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,-8.0,Refused
770120,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,-7.0,Not carried out
770121,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,-1.0,Not applicable
770122,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,0.0,Other colour identified (other specify)
770123,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,1.0,Black
770124,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,98.0,Don't Know
770125,MCS,mcs2_cm_cognitive_assessment,bcco0100,COG Show me which colour is black,99.0,No response
770126,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,-8.0,Refused
770127,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,-7.0,Not carried out
770128,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,-1.0,Not applicable
770129,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,0.0,Other colour identified (other specify)
770130,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,1.0,Green
770131,MCS,mcs2_cm_cognitive_assessment,bcco0200,COG Show me which colour is green,98.0,Don't Know
