,Source,Block Name,Variable Name,Variable Description,Value,Value Description
775261,MCS,mcs2_family_derived,bactry00,ADMIN Country at interview (E,1.0,England
775262,MCS,mcs2_family_derived,bactry00,ADMIN Country at interview (E,2.0,Wales
775263,MCS,mcs2_family_derived,bactry00,ADMIN Country at interview (E,3.0,Scotland
775264,MCS,mcs2_family_derived,bactry00,ADMIN Country at interview (E,4.0,Northern Ireland
775265,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,1.0,North East
775266,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,2.0,North West
775267,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,3.0,Yorkshire and the Humber
775268,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,4.0,East Midlands
775269,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,5.0,West Midlands
775270,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,6.0,East of England
775271,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,7.0,London
775272,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,8.0,South East
775273,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,9.0,South West
775274,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,10.0,Wales
775275,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,11.0,Scotland
775276,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,12.0,Northern Ireland
775277,MCS,mcs2_family_derived,baregn00,Interview Government Office Region,13.0,Not app in IoM Ch Is
775278,MCS,mcs2_family_derived,bdmint00,Interview Outcome,-1.0,Not applicable
775279,MCS,mcs2_family_derived,bdmint00,Interview Outcome,1.0,Main interviewed in person
775280,MCS,mcs2_family_derived,bdmint00,Interview Outcome,2.0,Main eligible but not interviewed
775281,MCS,mcs2_family_derived,bdmint00,Interview Outcome,3.0,No-one eligible for Main interview
775282,MCS,mcs2_family_derived,bdmsam00,Respondent same as last sweep,-3.0,New family at MCS2
775283,MCS,mcs2_family_derived,bdmsam00,Respondent same as last sweep,-1.0,Not applicable
775284,MCS,mcs2_family_derived,bdmsam00,Respondent same as last sweep,1.0,Same Main respondent
775285,MCS,mcs2_family_derived,bdmsam00,Respondent same as last sweep,2.0,Different Main respondent
775286,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),-9.0,Refusal
775287,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),-1.0,Not applicable
775288,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),1.0,"Same Main respondent, interviewer coded Same"
775289,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),2.0,"Same Main respondent, interviewer coded Different"
775290,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),3.0,"Different Main respondent, interviewer coded Same"
775291,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),4.0,"Different Main respondent, interviewer coded Different"
775292,MCS,mcs2_family_derived,bdmsmi00,Respondent same as last sweep (compared with interviewer),5.0,"Main at both sweeps, no interviewer code"
775293,MCS,mcs2_family_derived,bdmlst00,Respondent status at last sweep,-5.0,Not in HH at MCS1
775294,MCS,mcs2_family_derived,bdmlst00,Respondent status at last sweep,-3.0,New family at MCS2
