,Source,Block Name,Variable Name,Variable Description,Value,Value Description
775546,MCS,mcs2_hhgrid,study_id_e,,,
775547,MCS,mcs2_hhgrid,pnum,Person number within an MCS family (excl Cohort Members,,
775548,MCS,mcs2_hhgrid,belig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,-1.0,Not applicable
775549,MCS,mcs2_hhgrid,belig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,1.0,Main Interview
775550,MCS,mcs2_hhgrid,belig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,2.0,Partner Interview
775551,MCS,mcs2_hhgrid,belig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,3.0,Partner Proxy Interview
775552,MCS,mcs2_hhgrid,belig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,4.0,Not eligible for interview
775553,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,-1.0,Not applicable
775554,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,1.0,Main Interview
775555,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,2.0,Partner Interview
775556,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,3.0,Partner Proxy Interview
775557,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,4.0,No interview
775558,MCS,mcs2_hhgrid,bresp00,Response in survey: Whether respondent (of ELIG) participated in interview,5.0,Imputed Main Interview (Only child data
775559,MCS,mcs2_hhgrid,bcnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
775560,MCS,mcs2_hhgrid,bcnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
775561,MCS,mcs2_hhgrid,bcnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
775562,MCS,mcs2_hhgrid,bhintm00,Interview Date (month),-2.0,No Interview Date
775563,MCS,mcs2_hhgrid,bhintm00,Interview Date (month),-1.0,Not applicable
775564,MCS,mcs2_hhgrid,bhinty00,Interview Date (year),-2.0,No Interview Date
775565,MCS,mcs2_hhgrid,bhinty00,Interview Date (year),-1.0,Not applicable
775566,MCS,mcs2_hhgrid,bhcsex00,Cohort Member Sex,-1.0,Not applicable
775567,MCS,mcs2_hhgrid,bhcsex00,Cohort Member Sex,1.0,Male
775568,MCS,mcs2_hhgrid,bhcsex00,Cohort Member Sex,2.0,Female
775569,MCS,mcs2_hhgrid,bhcdbm00,Cohort Member Date of Birth (month),-1.0,Not applicable
775570,MCS,mcs2_hhgrid,bhcdby00,Cohort Member Date of Birth (year),-1.0,Not applicable
775571,MCS,mcs2_hhgrid,bhcage00,CM Age at interview (days),-2.0,No Interview Date
775572,MCS,mcs2_hhgrid,bhcage00,CM Age at interview (days),-1.0,Not applicable
775573,MCS,mcs2_hhgrid,bhcprs00,CM Present in Sweep 2,-1.0,Not applicable
775574,MCS,mcs2_hhgrid,bhcprs00,CM Present in Sweep 2,1.0,Present
775575,MCS,mcs2_hhgrid,bhcass00,CM Child Assessments completed,-1.0,Not applicable
775576,MCS,mcs2_hhgrid,bhcass00,CM Child Assessments completed,0.0,Child Assessments not completed
775577,MCS,mcs2_hhgrid,bhcass00,CM Child Assessments completed,1.0,Both Child Assessments completed
775578,MCS,mcs2_hhgrid,bhcass00,CM Child Assessments completed,2.0,Child Assessments BRAKEN only completed
775579,MCS,mcs2_hhgrid,bhcass00,CM Child Assessments completed,3.0,Child Assessments BAS only completed
775580,MCS,mcs2_hhgrid,bhmesu00,CM Child Measurements completed,-1.0,Not applicable
775581,MCS,mcs2_hhgrid,bhmesu00,CM Child Measurements completed,0.0,Child Measurements not completed
775582,MCS,mcs2_hhgrid,bhmesu00,CM Child Measurements completed,1.0,Both Child Measurements completed
775583,MCS,mcs2_hhgrid,bhmesu00,CM Child Measurements completed,2.0,Child Measurements weight only complete
775584,MCS,mcs2_hhgrid,bhmesu00,CM Child Measurements completed,3.0,Child Measurements height only complete
775585,MCS,mcs2_hhgrid,bhpsex00,Person Sex,-2.0,Not known
775586,MCS,mcs2_hhgrid,bhpsex00,Person Sex,-1.0,Not applicable
775587,MCS,mcs2_hhgrid,bhpsex00,Person Sex,1.0,Male
775588,MCS,mcs2_hhgrid,bhpsex00,Person Sex,2.0,Female
775589,MCS,mcs2_hhgrid,bhpdbm00,Person Date of Birth (month),-8.0,Dont know
775590,MCS,mcs2_hhgrid,bhpdbm00,Person Date of Birth (month),-1.0,Not applicable
775591,MCS,mcs2_hhgrid,bhpdby00,Person Date of Birth (year),-8.0,Dont know
775592,MCS,mcs2_hhgrid,bhpdby00,Person Date of Birth (year),-1.0,Not applicable
775593,MCS,mcs2_hhgrid,bhpres00,Present in Sweep 2,-1.0,Not applicable
775594,MCS,mcs2_hhgrid,bhpres00,Present in Sweep 2,0.0,Not present
775595,MCS,mcs2_hhgrid,bhpres00,Present in Sweep 2,1.0,Present
775596,MCS,mcs2_hhgrid,bhpres00,Present in Sweep 2,2.0,Not known
775597,MCS,mcs2_hhgrid,bhpage00,Person Age (years),-3.0,Dob or Date interview missing
775598,MCS,mcs2_hhgrid,bhpage00,Person Age (years),-2.0,Not Known
775599,MCS,mcs2_hhgrid,bhpage00,Person Age (years),-1.0,Not applicable
775600,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,-9.0,Refusal
775601,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,-8.0,Dont Know
775602,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,-2.0,Not Known
775603,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,-1.0,Not applicable
775604,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,1.0,Husband/Wife
775605,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,2.0,Partner/Cohabitee
775606,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,3.0,Natural son/daughter
775607,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,4.0,Adopted son/daughter
775608,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,5.0,Foster son/daughter
775609,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,6.0,Step-son/ step-daughter
775610,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,7.0,Natural parent
775611,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,8.0,Adoptive parent
775612,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,9.0,Foster parent
775613,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,10.0,Step-parent/partner of parent
775614,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,11.0,Natural brother/Natural sister
775615,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,12.0,Half-brother/Half-sister
775616,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,13.0,Step-brother/Step-sister
775617,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,14.0,Adopted brother/Adopted sister
775618,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,15.0,Foster brother/Foster sister
775619,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,16.0,Grandchild
775620,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,17.0,Grandparent
775621,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,18.0,Nanny/au pair
775622,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,19.0,Other relative
775623,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,20.0,Other non-relative
775624,MCS,mcs2_hhgrid,bhcrel00,Relationship to Cohort Member,96.0,Self
775625,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,-9.0,Refusal
775626,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,-8.0,Dont Know
775627,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,-2.0,Not Known
775628,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,-1.0,Not Applicable
775629,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,1.0,Husband/Wife
775630,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,2.0,Partner/Cohabitee
775631,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,3.0,Natural son/daughter
775632,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,4.0,Adopted son/daughter
775633,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,5.0,Foster son/daughter
775634,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,6.0,Step-son/ step-daughter
775635,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,7.0,Natural parent
775636,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,8.0,Adoptive parent
775637,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,9.0,Foster parent
775638,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,10.0,Step-parent/partner of parent
775639,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,11.0,Natural brother/Natural sister
775640,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,12.0,Half-brother/Half-sister
775641,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,13.0,Step-brother/Step-sister
775642,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,14.0,Adopted brother/Adopted sister
775643,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,15.0,Foster brother/Foster sister
775644,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,16.0,Grandchild
775645,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,17.0,Grandparent
775646,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,18.0,Nanny/au pair
775647,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,19.0,Other relative
775648,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,20.0,Other non-relative
775649,MCS,mcs2_hhgrid,bhprela0,Relationship to Person 1,96.0,Self
775650,MCS,mcs2_hhgrid,bhprelb0,Relationship to Person 2,-9.0,Refusal
775651,MCS,mcs2_hhgrid,bhprelb0,Relationship to Person 2,-8.0,Dont Know
775652,MCS,mcs2_hhgrid,bhprelb0,Relationship to Person 2,-2.0,Not Known
