variable_name,value_value,value_label,avail_from_dt,table_name
PNUM,1,1st Cohort Member of the family,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
PNUM,2,2nd Cohort Member of the family,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
PNUM,3,3rd Cohort Member of the family,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,-9,Refusal,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,-8,Don't Know,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,-1,Not applicable,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,1,White,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,2,Mixed,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,3,Indian,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,4,Pakistani and Bangladeshi,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,5,Black or Black British,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC06E00,6,"Other Ethnic group (inc Chinese,Other)",2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,-9,Refusal,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,-8,Don't know,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,-1,Not applicable,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,1,White,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,2,Mixed,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,3,Indian,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,4,Pakistani,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,5,Bangladeshi,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,6,Black Caribbean,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,7,Black African,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC08E00,8,"Other Ethnic group (inc Chinese,Other)",2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,-9,Refusal,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,-8,Don't know,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,-1,Not applicable,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,1,White,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,2,Mixed,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,3,Indian,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,4,Pakistani,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,5,Bangladeshi,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,6,Other Asian,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,7,Black Caribbean,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,8,Black African,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,9,Other Black,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,10,Chinese,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDC11E00,11,Other Ethnic Group,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
CDCSBI00,-1,Not applicable,2022-01-02 23:09:23.040,mcs3_cm_derived_v0001_20211101
