variable_name,value_value,value_label,avail_from_dt,table_name
CCCHIC0J,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,1,All consents given,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,2,Story of Sally and Anne,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,3,Picture similarities,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,4,Naming Vocabulary,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,5,Pattern construction,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,6,Height,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,7,Weight,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,8,Waist circumference against skin,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,9,Waist circumference over clothing,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCHIC0J,96,NO consents given,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,1,No noise from television/radio/stereo,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,2,Moderate noise from television/radio/st,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,3,Loud noise from television/radio/stereo,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTVNS00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,1,No background conversation,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,2,Audible but not loud background convers,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,3,Loud background conversation,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCCONV00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,1,No background noise and disturbances,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,2,Some background noise and disturbances,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,3,A lot of background noise and disturban,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCBACC00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,1,No-one entering/leaving the room,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,2,Someone entering/leaving the room o,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,3,Someone entering/leaving the room 3,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTR00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,1,No-one entering/leaving the home,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,2,Someone entering/leaving the home o,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,3,Someone entering/leaving the home 3,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCENTH00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,1,No interruptions by another child,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,2,1-2 interruptions by another child,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,3,3 + interruptions by another child,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTC00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,1,No interruptions by other adult(s),2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,2,1-2 interruptions by other adult(s),2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,3,3 or more interruptions by other adult(,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCINTA00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,1,Very tired,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,2,A little tired,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,3,Wide awake,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCTIRC00,4,Not observed/DK,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCASSC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCASSC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCASSC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCASSC00,1,Yes,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCASSC00,2,No,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,11,Complete,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,21,Partially complete,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,43,Parent refused,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,44,Child refused,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,56,Other non-productive,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,70,Sp1,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,71,Sp2,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCSAOC00,80,No child,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,11,Complete,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,21,Partially complete,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCPSOC00,43,Parent refused,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCWSRLBC,3,Child breathing in and out excessively,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCWSRLBC,4,Unsure measurement taken correctly,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCWSRLBC,51,Child refused to lift up clothing,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBA,87,Editor cannot deal with,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBA,95,Other (specify),2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,-9,Refusal,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,-8,Don't Know,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,-1,Not applicable,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,1,Height measured successfully,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,2,Hairstyle,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,3,Turban or other headwear,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,4,Posture - back not straight,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,5,Posture - legs not straight,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,6,Unable to stand still,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,7,Shoes were worn,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,8,Socks were worn,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,9,Parent not able to/ did not help,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,10,Could not keep head in Frankfort Plane,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,11,spare,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,12,spare,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,13,spare,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,14,spare,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,15,spare,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,85,Other specific answer,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
CCHTRLBB,86,Vague / irrelevant answer,2022-01-02 23:54:50.440,mcs3_cm_interview_v0001_20211101
