,Source,Block Name,Variable Name,Variable Description,Value,Value Description
786650,MCS,mcs3_older_siblings_questionnaire,cactry00,ADMIN Country at interview (E,1.0,England
786651,MCS,mcs3_older_siblings_questionnaire,cactry00,ADMIN Country at interview (E,2.0,Wales
786652,MCS,mcs3_older_siblings_questionnaire,cactry00,ADMIN Country at interview (E,3.0,Scotland
786653,MCS,mcs3_older_siblings_questionnaire,cactry00,ADMIN Country at interview (E,4.0,Northern Ireland
786654,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,1.0,North East
786655,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,2.0,North West
786656,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,3.0,Yorkshire and the Humber
786657,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,4.0,East Midlands
786658,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,5.0,West Midlands
786659,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,6.0,East of England
786660,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,7.0,London
786661,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,8.0,South East
786662,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,9.0,South West
786663,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,10.0,Wales
786664,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,11.0,Scotland
786665,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,12.0,Northern Ireland
786666,MCS,mcs3_older_siblings_questionnaire,caregn00,Interview Government Office Region,13.0,Not app in IoM Ch Is
786667,MCS,mcs3_older_siblings_questionnaire,copnum00,OS: Older sibling person number,,
786668,MCS,mcs3_older_siblings_questionnaire,copsex00,HH grid: Sex,-9.0,Refusal
786669,MCS,mcs3_older_siblings_questionnaire,copsex00,HH grid: Sex,-8.0,Don't Know
786670,MCS,mcs3_older_siblings_questionnaire,copsex00,HH grid: Sex,-1.0,Not applicable
786671,MCS,mcs3_older_siblings_questionnaire,copsex00,HH grid: Sex,1.0,Male
786672,MCS,mcs3_older_siblings_questionnaire,copsex00,HH grid: Sex,2.0,Female
786673,MCS,mcs3_older_siblings_questionnaire,copage00,HH grid: Age,-9.0,Refusal
786674,MCS,mcs3_older_siblings_questionnaire,copage00,HH grid: Age,-8.0,Don't Know
786675,MCS,mcs3_older_siblings_questionnaire,copage00,HH grid: Age,-1.0,Not applicable
786676,MCS,mcs3_older_siblings_questionnaire,copage00,HH grid: Age,998.0,Refusal
786677,MCS,mcs3_older_siblings_questionnaire,copage00,HH grid: Age,999.0,Don't Know
786678,MCS,mcs3_older_siblings_questionnaire,cosiby00,OS Is Person an older sibling of Cohort Member (aged 5,-9.0,Refusal
786679,MCS,mcs3_older_siblings_questionnaire,cosiby00,OS Is Person an older sibling of Cohort Member (aged 5,-8.0,Don't Know
786680,MCS,mcs3_older_siblings_questionnaire,cosiby00,OS Is Person an older sibling of Cohort Member (aged 5,-1.0,Not applicable
786681,MCS,mcs3_older_siblings_questionnaire,cosiby00,OS Is Person an older sibling of Cohort Member (aged 5,1.0,Yes
786682,MCS,mcs3_older_siblings_questionnaire,cosiby00,OS Is Person an older sibling of Cohort Member (aged 5,2.0,No
786683,MCS,mcs3_older_siblings_questionnaire,costota0,OS: Total number of older siblings in HHgrid with OSSI,-9.0,Refusal
786684,MCS,mcs3_older_siblings_questionnaire,costota0,OS: Total number of older siblings in HHgrid with OSSI,-8.0,Don't Know
786685,MCS,mcs3_older_siblings_questionnaire,costota0,OS: Total number of older siblings in HHgrid with OSSI,-1.0,Not applicable
786686,MCS,mcs3_older_siblings_questionnaire,costotb0,OS:Total number of older siblings in HHgrid with OSSI=,-9.0,Refusal
786687,MCS,mcs3_older_siblings_questionnaire,costotb0,OS:Total number of older siblings in HHgrid with OSSI=,-8.0,Don't Know
786688,MCS,mcs3_older_siblings_questionnaire,costotb0,OS:Total number of older siblings in HHgrid with OSSI=,-1.0,Not applicable
786689,MCS,mcs3_older_siblings_questionnaire,coosos00,OS Whether happy to answer OS questions,-9.0,Refusal
786690,MCS,mcs3_older_siblings_questionnaire,coosos00,OS Whether happy to answer OS questions,-8.0,Don't Know
786691,MCS,mcs3_older_siblings_questionnaire,coosos00,OS Whether happy to answer OS questions,-1.0,Not applicable
786692,MCS,mcs3_older_siblings_questionnaire,coosos00,OS Whether happy to answer OS questions,1.0,Yes
786693,MCS,mcs3_older_siblings_questionnaire,coosos00,OS Whether happy to answer OS questions,2.0,No
786694,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,-9.0,Refusal
786695,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,-8.0,Don't Know
786696,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,-1.0,Not applicable
786697,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,1.0,Accepted as self-completion
786698,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,2.0,Accepted self completion but interviewe
786699,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,3.0,Refused self completion
786700,MCS,mcs3_older_siblings_questionnaire,coosac00,OS: Whether accepted self-completion,4.0,Not able to do self completion
786701,MCS,mcs3_older_siblings_questionnaire,coscen00,OS: End of self-completion,-9.0,Refusal
786702,MCS,mcs3_older_siblings_questionnaire,coscen00,OS: End of self-completion,-8.0,Don't Know
786703,MCS,mcs3_older_siblings_questionnaire,coscen00,OS: End of self-completion,-1.0,Not applicable
786704,MCS,mcs3_older_siblings_questionnaire,coscen00,OS: End of self-completion,1.0,Press 1 and enter
786705,MCS,mcs3_older_siblings_questionnaire,coosst00,OS: Start OS self-completion,-9.0,Refusal
786706,MCS,mcs3_older_siblings_questionnaire,coosst00,OS: Start OS self-completion,-8.0,Don't Know
786707,MCS,mcs3_older_siblings_questionnaire,coosst00,OS: Start OS self-completion,-1.0,Not applicable
786708,MCS,mcs3_older_siblings_questionnaire,coosst00,OS: Start OS self-completion,1.0,Press 1 and Enter to continue.
786709,MCS,mcs3_older_siblings_questionnaire,cosdop00,OS Sibling is considerate of others feelings,-2.0,Don't Know
786710,MCS,mcs3_older_siblings_questionnaire,cosdop00,OS Sibling is considerate of others feelings,-1.0,Not applicable
