variable_name,value_value,value_label,avail_from_dt,table_name
QC5B01,9,"Youth club, social group",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,10,Playing / seeing friends,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,11,Babysitting,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,12,Cinema,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,13,Listen to music,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,14,"Language lesson, extra lessons, Kumon,",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,15,"Go to church, mosque, etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,16,Gardening,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,17,"Walking, walk in park, walking dog",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,18,Duke of Edingburgh award,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,19,"Volunteer work with elderly, children",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,20,"Art and crafts, painting, cookery etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,21,Reading,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,22,Fishing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B01,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,-9,Not answered (99),2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,-1,Item not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,1,"Sports classes, training, playing sport",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,2,"Skateboarding, roller-skating, cycling",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,3,Horse-riding,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,4,"Dance lessons, dancing",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,5,"Music lessons, singing lessons",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,6,"Drama, theatre studies",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,7,"Scouts, Guides, Brownies, Cubs etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,8,"Play computer, watch TV",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,9,"Youth club, social group",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,10,Playing / seeing friends,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,11,Babysitting,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,12,Cinema,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,13,Listen to music,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,14,"Language lesson, extra lessons, Kumon,",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,15,"Go to church, mosque, etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,16,Gardening,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,17,"Walking, walk in park, walking dog",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,18,Duke of Edingburgh award,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,19,"Volunteer work with elderly, children",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,20,"Art and crafts, painting, cookery etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,21,Reading,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,22,Fishing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B02,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,-9,Not answered (99),2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,-1,Item not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,1,"Sports classes, training, playing sport",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,2,"Skateboarding, roller-skating, cycling",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,3,Horse-riding,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,4,"Dance lessons, dancing",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,5,"Music lessons, singing lessons",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,6,"Drama, theatre studies",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,7,"Scouts, Guides, Brownies, Cubs etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,8,"Play computer, watch TV",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,9,"Youth club, social group",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,10,Playing / seeing friends,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,11,Babysitting,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,12,Cinema,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,13,Listen to music,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,14,"Language lesson, extra lessons, Kumon,",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,15,"Go to church, mosque, etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,16,Gardening,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,17,"Walking, walk in park, walking dog",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,18,Duke of Edingburgh award,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,19,"Volunteer work with elderly, children",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,20,"Art and crafts, painting, cookery etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,21,Reading,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,22,Fishing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B03,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B04,-9,Not answered (99),2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B04,-1,Item not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QC5B04,1,"Sports classes, training, playing sport",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,8,"More shops, restaurants",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,9,Less anti-social behaviour eg drinking,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,10,Nicer people/more polite/friendlier,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,11,More friends/new friends/people like me,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,12,Better housing/ improve housing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,13,"New or more library, schools etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,14,Reduce noise,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,15,"No dogs, no dogs not on leads",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B05,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,-9,Not answered (99),2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,-1,Item not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,1,"More sports facilities, swimming pool,",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,2,"Better/ more parks, playgrounds",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,3,"More activities, youth clubs, cinema",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,4,Improved environment: less litter,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,5,Improved safety: better street lighting,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,6,"Better policing, neighbourhood watch",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,7,Better public transport,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,8,"More shops, restaurants",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,9,Less anti-social behaviour eg drinking,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,10,Nicer people/more polite/friendlier,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,11,More friends/new friends/people like me,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,12,Better housing/ improve housing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,13,"New or more library, schools etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,14,Reduce noise,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,15,"No dogs, no dogs not on leads",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B06,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,-9,Not answered (99),2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,-1,Item not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,1,"More sports facilities, swimming pool,",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,2,"Better/ more parks, playgrounds",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,3,"More activities, youth clubs, cinema",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,4,Improved environment: less litter,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,5,Improved safety: better street lighting,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,6,"Better policing, neighbourhood watch",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,7,Better public transport,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,8,"More shops, restaurants",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,9,Less anti-social behaviour eg drinking,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,10,Nicer people/more polite/friendlier,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,11,More friends/new friends/people like me,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,12,Better housing/ improve housing,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,13,"New or more library, schools etc",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,14,Reduce noise,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,15,"No dogs, no dogs not on leads",2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,85,Other specific answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,86,Vague / irrelevant answer,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
QI5B07,87,Editor cannot deal with,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSEMOT,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSCOND,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSHYPE,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSPEER,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSPROS,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
CMOSEBDT,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
COPEEX00,-1,Not applicable,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
COPEEX00,1,Yes,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
COPEEX00,2,No,2022-01-02 23:42:55.547,mcs3_older_siblings_questionnaire_v0001_20211101
