,Source,Block Name,Variable Name,Variable Description,Value,Value Description
800912,MCS,mcs4_cm_aspirations,study_id_e,,,
800913,MCS,mcs4_cm_aspirations,pnum,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
800914,MCS,mcs4_cm_aspirations,pnum,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
800915,MCS,mcs4_cm_aspirations,pnum,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
800916,MCS,mcs4_cm_aspirations,dcamfv01,Whether aspiration 1 is masculine or feminine (Hakim 1998) (final),-1.0,Not codable
800917,MCS,mcs4_cm_aspirations,dcamfv01,Whether aspiration 1 is masculine or feminine (Hakim 1998) (final),1.0,Feminine
800918,MCS,mcs4_cm_aspirations,dcamfv01,Whether aspiration 1 is masculine or feminine (Hakim 1998) (final),2.0,ULTRA FEMININE
800919,MCS,mcs4_cm_aspirations,dcamfv01,Whether aspiration 1 is masculine or feminine (Hakim 1998) (final),3.0,Integrated
800920,MCS,mcs4_cm_aspirations,dcamfv01,Whether aspiration 1 is masculine or feminine (Hakim 1998) (final),4.0,Masculine
800921,MCS,mcs4_cm_aspirations,dcamfu01,Aspiration 1: Proportion of women in emp in occupation category (2008) Final,,
800922,MCS,mcs4_cm_aspirations,dcaext0a,Aspiration goal 1 (Extrinsic,-1.0,Not codable
800923,MCS,mcs4_cm_aspirations,dcaext0a,Aspiration goal 1 (Extrinsic,1.0,Extrinsic aspiration
800924,MCS,mcs4_cm_aspirations,dcaext0a,Aspiration goal 1 (Extrinsic,2.0,Extrinsic-Intermediate aspiration
800925,MCS,mcs4_cm_aspirations,dcaext0a,Aspiration goal 1 (Extrinsic,3.0,Intrinsic-Intermediate aspiration
800926,MCS,mcs4_cm_aspirations,dcaext0a,Aspiration goal 1 (Extrinsic,4.0,Otherwise
800927,MCS,mcs4_cm_aspirations,dcamfv02,Whether aspiration 2 is masculine or feminine (Hakim 1998) (final),-1.0,Not codable
800928,MCS,mcs4_cm_aspirations,dcamfv02,Whether aspiration 2 is masculine or feminine (Hakim 1998) (final),1.0,Feminine
800929,MCS,mcs4_cm_aspirations,dcamfv02,Whether aspiration 2 is masculine or feminine (Hakim 1998) (final),2.0,ULTRA FEMININE
800930,MCS,mcs4_cm_aspirations,dcamfv02,Whether aspiration 2 is masculine or feminine (Hakim 1998) (final),3.0,Integrated
800931,MCS,mcs4_cm_aspirations,dcamfv02,Whether aspiration 2 is masculine or feminine (Hakim 1998) (final),4.0,Masculine
800932,MCS,mcs4_cm_aspirations,dcamfu02,Aspiration 2: Proportion of women in emp in occupation category (2008) Final,,
800933,MCS,mcs4_cm_aspirations,dcaext0b,Aspiration goal 2 (Extrinsic,-1.0,Not codable
800934,MCS,mcs4_cm_aspirations,dcaext0b,Aspiration goal 2 (Extrinsic,1.0,Extrinsic aspiration
800935,MCS,mcs4_cm_aspirations,dcaext0b,Aspiration goal 2 (Extrinsic,2.0,Extrinsic-Intermediate aspiration
800936,MCS,mcs4_cm_aspirations,dcaext0b,Aspiration goal 2 (Extrinsic,3.0,Intrinsic-Intermediate aspiration
800937,MCS,mcs4_cm_aspirations,dcaext0b,Aspiration goal 2 (Extrinsic,4.0,Otherwise
800938,MCS,mcs4_cm_aspirations,dcamfv03,Whether aspiration 3 is masculine or feminine (Hakim 1998) (final),-1.0,Not codable
800939,MCS,mcs4_cm_aspirations,dcamfv03,Whether aspiration 3 is masculine or feminine (Hakim 1998) (final),1.0,Feminine
800940,MCS,mcs4_cm_aspirations,dcamfv03,Whether aspiration 3 is masculine or feminine (Hakim 1998) (final),2.0,ULTRA FEMININE
800941,MCS,mcs4_cm_aspirations,dcamfv03,Whether aspiration 3 is masculine or feminine (Hakim 1998) (final),3.0,Integrated
800942,MCS,mcs4_cm_aspirations,dcamfv03,Whether aspiration 3 is masculine or feminine (Hakim 1998) (final),4.0,Masculine
800943,MCS,mcs4_cm_aspirations,dcamfu03,Aspiration 3: Proportion of women in emp in occupation category (2008) Final,,
800944,MCS,mcs4_cm_aspirations,dcaext0c,Aspiration goal 3 (Extrinsic,-1.0,Not codable
800945,MCS,mcs4_cm_aspirations,dcaext0c,Aspiration goal 3 (Extrinsic,1.0,Extrinsic aspiration
