variable_name,value_value,value_label,avail_from_dt,table_name
PNUM,1,1st Cohort Member of the family,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
PNUM,2,2nd Cohort Member of the family,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
PNUM,3,3rd Cohort Member of the family,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV01,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV01,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV01,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV01,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV01,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0A,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0A,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0A,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0A,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0A,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV02,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV02,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV02,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV02,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV02,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0B,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0B,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0B,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0B,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0B,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV03,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV03,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV03,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV03,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV03,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0C,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0C,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0C,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0C,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0C,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV04,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV04,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV04,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV04,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV04,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0D,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0D,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0D,2, Charity aspitation,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0D,3,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0D,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV05,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV05,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV05,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV05,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV05,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0E,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0E,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0E,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0E,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0E,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV06,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV06,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV06,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV06,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV06,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0F,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0F,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0F,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0F,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0F,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV07,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV07,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV07,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV07,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV07,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0G,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0G,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0G,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0G,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0G,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV08,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV08,1,Feminine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV08,2,ULTRA FEMININE,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV08,3,Integrated,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAMFV08,4,Masculine,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0H,-1,Not codable,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0H,1,Extrinsic aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0H,2,Extrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0H,3,Intrinsic-Intermediate aspiration,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
DCAEXT0H,4,Otherwise,2022-01-03 02:24:24.870,mcs4_cm_aspirations_v0001_20211101
