variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
PNUM,Cohort Member number within an MCS family,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBCHK00,Does child still live here,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBWHZ00,What happened to child (merged),2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBDCY00,When did child die (year),2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBDCM00,When did child die (month),2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBADD00,Ask & record on ARF address of twin/triplet who moved,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBLAT00,Will need to collect twin/triplet later,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBCOR00,Check FF child's name,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPCABR00,Whether CM lived outside UK since last interview?,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBHCH00,Is ^cnam the correct first name,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPCABD00,Months lived outside UK since last interview?,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPTVNS00,Whether background noise from TV etc,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPCONV00,IWR: Background noise from conversation,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPBACC00,IWR: Background noise from other children,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPENTR00,IWR: Background noise from people entering/leaving room,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPENTH00,IWR: Background noise from people entering/leaving the house,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPINTC00,IWR: Interruption of cognitive assessments from another child,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPINTA00,IWR: Interruption of cognitive assessments by an adult,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPTIRC00,Whether cohort child tired,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
DPASSC00,Circumstances of the cognitive assessment,2022-01-03 03:24:47.070,mcs4_cm_interview_v0001_20211101
