,Source,Block Name,Variable Name,Variable Description,Value,Value Description
805768,MCS,mcs4_cm_teacher_survey,study_id_e,,,
805769,MCS,mcs4_cm_teacher_survey,pnum,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
805770,MCS,mcs4_cm_teacher_survey,pnum,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
805771,MCS,mcs4_cm_teacher_survey,pnum,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
805772,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,-9.0,Not answered (9)
805773,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,-1.0,Item not applicable
805774,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,1.0,England
805775,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,2.0,Wales
805776,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,3.0,Scotland
805777,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,4.0,Northern Ireland
805778,MCS,mcs4_cm_teacher_survey,dversion,S4 TS Version of Questionnaire Used,5.0,Welsh
805779,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,-9.0,Dont know
805780,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,-1.0,Not applicable
805781,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,1.0,Welsh/Gaelic/Irish only
805782,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,2.0,Mainly Welsh/Gaelic/Irish
805783,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,3.0,Welsh/Gaelic/Irish and English equally
805784,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,4.0,Mainly English
805785,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,5.0,English only
805786,MCS,mcs4_cm_teacher_survey,dq2100,S4 TS Please state in which language the child is educated,6.0,Other (please write in)
805787,MCS,mcs4_cm_teacher_survey,dq2101,S4 TS Text present or not?,-9.0,Dont know
805788,MCS,mcs4_cm_teacher_survey,dq2101,S4 TS Text present or not?,-1.0,Not applicable
805789,MCS,mcs4_cm_teacher_survey,dq2101,S4 TS Text present or not?,1.0,Text present
805790,MCS,mcs4_cm_teacher_survey,dq2101,S4 TS Text present or not?,2.0,No text present
805791,MCS,mcs4_cm_teacher_survey,dq2160,S4 TS Speaking and listening (in English),-9.0,Dont know
