variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
PNUM,Cohort Member number within an MCS family,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DVERSION,S4 TS Version of Questionnaire Used,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2100,S4 TS Please state in which language the child is educated,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2101,S4 TS Text present or not?,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2160,S4 TS Speaking and listening (in English),2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2161,S4 TS Speaking and listening in Welsh/Gaelic/Irish,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2162,S4 TS Reading (in English),2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2163,S4 TS Reading in Welsh/Gaelic/Irish,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2164,S4 TS Writing (in English),2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2165,S4 TS Writing in Welsh/Gaelic/Irish,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2166,S4 TS Science,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2167,S4 TS Maths and numeracy,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2168,S4 TS Physical Education (PE),2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2169,S4 TS Information and Communication Technology (ICT),2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2170,S4 TS Expressive and Creative Arts (e.g. art & design,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2171,S4 TS Is considerate of other peoples feelings,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2172,S4 TS Is restless,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2173,S4 TS Often complains of headaches,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2174,S4 TS Shares readily with other children (treats,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2175,S4 TS Often has temper tantrums or hot tempers,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2176,S4 TS Is rather solitary,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2177,S4 TS Is generally obedient,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2178,S4 TS Has many worries often seems worried,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2179,S4 TS Is helpful when someone is hurt,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2180,S4 TS Constantly fidgets or squirms,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2181,S4 TS Has at least one good friend,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2182,S4 TS Often fights with other children or bullies them,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2183,S4 TS Is often unhappy,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2184,S4 TS Is generally liked by other children,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2185,S4 TS Is easily distracted,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2186,S4 TS Is nervous or clingy in new situations,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
DQ2187,S4 TS Is kind to younger children,2022-01-03 03:34:27.717,mcs4_cm_teacher_survey_v0001_20211101
