variable_name,value_value,value_label,avail_from_dt,table_name
DACTRY00,1,England,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DACTRY00,2,Wales,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DACTRY00,3,Scotland,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DACTRY00,4,Northern Ireland,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,1,North East,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,2,North West,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,3,Yorkshire and the Humber,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,4,East Midlands,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,5,West Midlands,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,6,East of England,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,7,London,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,8,South East,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,9,South West,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,10,Wales,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,11,Scotland,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,12,Northern Ireland,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DAREGN00,13,Not app in IoM Ch Is,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,1,Main respondent in person - no part elig,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,2,Main and partner respondent in person,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,3,"Main in person, partner by proxy",2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,4,"Main in person, partner elig but not pres",2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,5,"No main, partner interviewed",2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,6,"No main, partner by proxy",2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRSPO00,7,No parent interviews,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,1,Both natural parents,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,2,Natural mother and step-parent,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,3,Natural mother and other parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,4,Natural mother and adoptive parent,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,5,Natural father and step-parent,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,6,Natural father and other parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,7,Natural father and adoptive parent,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,8,Two adoptive parents,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,9,Adoptive mother and other parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,10,Two foster parents,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,11,Two grandparents,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,12,Grandmother and other parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,13,Grandfather and other parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,14,Two other parents,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,15,Natural mother only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,16,Natural father only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,17,Adoptive mother only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,18,Adoptive father only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,19,Step mother only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,20,Grandmother only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,21,Other parent/carer only (foster/sib/rel),2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,22,Step father only,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYP00,23,Unknown parent types,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYS00,1,Two parents/carers,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDHTYS00,2,One parent/carer,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRELP00,-2,Not known,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRELP00,-1,Not applicable,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
DDRELP00,1,Married,2022-01-03 01:24:26.687,mcs4_family_derived_v0001_20211101
