variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
PNUM,Person Number for Main or (Proxy)Partner respondent,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DELIG00,Eligibility for Interview,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DRESP00,Response to Interview,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDSAM00,DV Respondent same as at sweep 3,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDLST00,DV Respondent status at sweep 3,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDRES00,DV Respondent identity and interview status,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDREL00,DV Respondent relationship to CM,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDAGI00,Respondent Age at Interview,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDGAI00,DV Respondent Age at Interview (grouped),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD06E00,DV Respondent's Ethnic Group - 6 category Census class,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD11E00,Respondent's Ethnic Group - 11 category Census,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD08E00,Respondent's Ethnic Group - 8 category classification,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDWRK00,DV Whether respondent is in work or not,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDNVQ00,DV Respondent NVQ Highest Level (all sweeps),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDWGTK00,Weight of respondent in Kilos At interview,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDHGTM00,Height of respondent in Metres,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDBMI00,BMI of respondent at interview,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDKESSLER,Kessler K6 Scale,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDNEUROT,OCEAN - Neuroticism Sub Scale,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDEXTRAV,OCEAN - Extrovert Sub Scale,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDOCEAN,OCEAN - Neuroticism + Extrovert Score,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDRLG00,DV Respondent: Religion - 7 category,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDDACT00,DV Respondents Economic Activity Status,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD17S00,DV NS-SEC full version (current job),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD13S00,DV NS-SEC major categories (current job),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD07S00,DV NS-SEC 7 classes (current job),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDD05S00,DV NS-SEC 5 classes (current job),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDNETINC,DV Net Income (NETA/USLA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDGROSINC,DV Gross Income (GROP),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDSEMPINC,DV Self Employed Income (SEPA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDOJINC,DV Other Jobs Income (EASE),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINC,DV Total Income from Benefits (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCA,DV Income from Benefit 1 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCB,DV Income from Benefit 2 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCC,DV Income from Benefit 3 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCD,DV Income from Benefit 4 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCE,DV Income from Benefit 5 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCF,DV Income from Benefit 6 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCG,DV Income from Benefit 7 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCH,DV Income from Benefit 8 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCI,DV Income from Benefit 9 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCJ,DV Income from Benefit 10 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCK,DV Income from Benefit 11 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCL,DV Income from Benefit 12 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCM,DV Income from Benefit 13 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCN,DV Income from Benefit 14 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCO,DV Income from Benefit 15 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCP,DV Income from Benefit 16 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCQ,DV Income from Benefit 17 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCR,DV Income from Benefit 18 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCS,DV Income from Benefit 19 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCT,DV Income from Benefit 20 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCU,DV Income from Benefit 21 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCV,DV Income from Benefit 22 (BENA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDCSUPINC,DV Income from Child Support Payments (MANA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDOREGINC,DV Other regular Income (REGA),2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDNETINCF,DV Net Income (NETA/USLA) BRACKETS USED,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDGROSINCF,DV Gross Income (GROP) BRACKETS USED,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDSEMPINCF,DV Self Employed Income (SEPA) BRACKETS USED,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDOJINCF,DV Other Jobs Income (EASE) BRACKETS USED,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
DDBENINCFT,DV Total Income from Benefits (BENA) BRACKETS USED,2022-01-03 04:54:31.420,mcs4_parent_derived_v0001_20211101
