variable_name,variable_label,avail_from_dt,table_name
DPCOMAA0,Does absent parent contribute to maintenance R1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOCOA0,Financial arrangements made by court order R1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAA,Absent parent financial support R1 MC1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAB,Absent parent financial support R1 MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAC,Absent parent financial support R1 MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAD,Absent parent financial support R1 MC4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAE,Absent parent financial support R1 MC5,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAF,Absent parent financial support R1 MC6,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAG,Absent parent financial support R1 MC7,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAH,Absent parent financial support R1 MC8,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAI,Absent parent financial support R1 MC9,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAJ,Absent parent financial support R1 MC10,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKAK,Absent parent financial support R1 MC11,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPREFAA0,Res parent relationship with absent parent R1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRQRA0,How close is CM to absent parent MC1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRLVA0,Time to travel to absent parent MC1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPOPNMB0,Non-Resident Person number R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOPAB0,Contact with absent parent R2 (non-bio),2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSEOFB0,How often absent parent sees CM R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSTAYB0,Does CM stay overnight with absent parent R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOWHB0,Were child-stay arrangements made by court order R13,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPHOFB0,How often does CM speak on the phone to absent parent R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPMPOFB0,How often does CM send emails or text messages to absent parent MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOMAB0,Does absent parent contribute to maintenance R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOCOB0,Financial arrangements made by court order R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBA,Absent parent financial support R2 MC1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBB,Absent parent financial support R2 MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBC,Absent parent financial support R2 MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBD,Absent parent financial support R2 MC4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBE,Absent parent financial support R2 MC5,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBF,Absent parent financial support R2 MC6,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBG,Absent parent financial support R2 MC7,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBH,Absent parent financial support R2 MC8,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBI,Absent parent financial support R2 MC9,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBJ,Absent parent financial support R2 MC10,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKBK,Absent parent financial support R2 MC11,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPREFAB0,Res parent relationship with absent parent R2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRQRB0,How close is CM to absent parent MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRLVB0,Time to travel to absent parent MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPOPNMC0,Non-Resident Person number R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOPAC0,Contact with absent parent R3 (non-bio),2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSEOFC0,How often absent parent sees CM R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSTAYC0,Does CM stay overnight with absent parent R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOWHC0,Were child-stay arrangements made by court order R14,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPHOFC0,How often does CM speak on the phone to absent parent R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPMPOFC0,How often does CM send emails or text messages to absent parent MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOMAC0,Does absent parent contribute to maintenance R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOCOC0,Financial arrangements made by court order R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCA,Absent parent financial support R3 MC1,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCB,Absent parent financial support R3 MC2,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCC,Absent parent financial support R3 MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCD,Absent parent financial support R3 MC4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCE,Absent parent financial support R3 MC5,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCF,Absent parent financial support R3 MC6,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCG,Absent parent financial support R3 MC7,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCH,Absent parent financial support R3 MC8,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCI,Absent parent financial support R3 MC9,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCJ,Absent parent financial support R3 MC10,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPAYKCK,Absent parent financial support R3 MC11,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPREFAC0,Res parent relationship with absent parent R3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRQRC0,How close is CM to absent parent MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPNRLVC0,Time to travel to absent parent MC3,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPOPNMD0,Non-Resident Person number R4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOPAD0,Contact with absent parent R4 (non-bio),2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSEOFD0,How often absent parent sees CM R4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPSTAYD0,Does CM stay overnight with absent parent R4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPCOWHD0,Were child-stay arrangements made by court order R15,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPPHOFD0,How often does CM speak on the phone to absent parent R4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
DPMPOFD0,How often does CM send emails or text messages to absent parent MC4,2022-01-03 04:31:15.680,mcs4_parent_interview_v0001_1_20211101
