,Source,Block Name,Variable Name,Variable Description,Value,Value Description
848555,MCS,mcs4_proxy_partner_interview,study_id_e,,,
848556,MCS,mcs4_proxy_partner_interview,pnum,Person number,-1.0,Not applicable
848557,MCS,mcs4_proxy_partner_interview,delig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,-1.0,Not applicable
848558,MCS,mcs4_proxy_partner_interview,delig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,1.0,Main Interview
848559,MCS,mcs4_proxy_partner_interview,delig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,2.0,Partner Interview
848560,MCS,mcs4_proxy_partner_interview,delig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,3.0,Proxy Interview
848561,MCS,mcs4_proxy_partner_interview,delig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,4.0,Not eligible
848562,MCS,mcs4_proxy_partner_interview,dresp00,Response in survey: Whether respondent (of ELIG) participated in interview,-1.0,Not applicable
848563,MCS,mcs4_proxy_partner_interview,dresp00,Response in survey: Whether respondent (of ELIG) participated in interview,1.0,Main Interview
848564,MCS,mcs4_proxy_partner_interview,dresp00,Response in survey: Whether respondent (of ELIG) participated in interview,2.0,Partner Interview
848565,MCS,mcs4_proxy_partner_interview,dresp00,Response in survey: Whether respondent (of ELIG) participated in interview,3.0,Proxy Interview
848566,MCS,mcs4_proxy_partner_interview,dresp00,Response in survey: Whether respondent (of ELIG) participated in interview,4.0,No Interview
848567,MCS,mcs4_proxy_partner_interview,dxpxln00,Length of px block,-9.0,Refusal
848568,MCS,mcs4_proxy_partner_interview,dxpxln00,Length of px block,-8.0,Don't Know
848569,MCS,mcs4_proxy_partner_interview,dxpxln00,Length of px block,-1.0,Not applicable
848570,MCS,mcs4_proxy_partner_interview,dxpxln00,Length of px block,998.0,Refusal
848571,MCS,mcs4_proxy_partner_interview,dxpxln00,Length of px block,999.0,Don't Know
848572,MCS,mcs4_proxy_partner_interview,dxpxsx00,Proxy s sex - will be computed??,-9.0,Refusal
848573,MCS,mcs4_proxy_partner_interview,dxpxsx00,Proxy s sex - will be computed??,-8.0,Don't Know
848574,MCS,mcs4_proxy_partner_interview,dxpxsx00,Proxy s sex - will be computed??,-1.0,Not applicable
848575,MCS,mcs4_proxy_partner_interview,dxpxsx00,Proxy s sex - will be computed??,1.0,Male
848576,MCS,mcs4_proxy_partner_interview,dxpxsx00,Proxy s sex - will be computed??,2.0,Female
848577,MCS,mcs4_proxy_partner_interview,dxpxag00,Proxy s age - will be computed?,-9.0,Refusal
848578,MCS,mcs4_proxy_partner_interview,dxpxag00,Proxy s age - will be computed?,-8.0,Don't Know
848579,MCS,mcs4_proxy_partner_interview,dxpxag00,Proxy s age - will be computed?,-1.0,Not applicable
848580,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,-9.0,Refusal
848581,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,-8.0,Don't Know
848582,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,-1.0,Not applicable
848583,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,1.0,Spouse
848584,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,2.0,Cohab
848585,MCS,mcs4_proxy_partner_interview,dxpxpm00,Proxy s marital status from hh grid,3.0,Neither
848586,MCS,mcs4_proxy_partner_interview,dxpxpq00,Ask proxy questions,-9.0,Refusal
848587,MCS,mcs4_proxy_partner_interview,dxpxpq00,Ask proxy questions,-8.0,Don't Know
