variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
PNUM,Person number,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DELIG00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DRESP00,Response in survey: Whether respondent (of ELIG) participated in interview,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLN00,Length of px block,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXSX00,Proxy s sex - will be computed??,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXAG00,Proxy s age - will be computed?,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXPM00,Proxy s marital status from hh grid,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXPQ00,Ask proxy questions,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXIN00,Proceed with proxy interview,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXMS00,Partner s current legal marital status,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXXX00,Partner s ethnic group (A) [England],2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXPA00,Ask about partner's parents,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXMU00,Whether partner s natural/adoptive mother still alive,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXMA00,Partner's mother's age,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXMO00,Age of partner's mother at death,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXDU00,Whether partner's father still alive,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXDA00,Partner's father's age,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXDO00,Age of partner's father at death,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXDM00,Whether partner s parents live together,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXPR00,How long does it take to travel to parents,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXMV00,Journey time to partner's mother's home,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXDV00,Journey time to partner's father's home,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXBO00,Whether partner born in UK,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWN00,When partner came to UK to live,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXBK00,EDITOR: You have coded... ^PxBw as... ^PxBwx,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXGE00,Describe partner's health,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLL00,Has partner longstanding illness,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLT00,Do these illness(es) or disability/ies limit,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHT00,Height met/imp,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHF00,Height feet,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHI00,Height inches,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHC00,Height in centimeters,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWB00,Whether partner is currently pregnant,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWT00,Partners weight (unit),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWS00,Weight (stones),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWP00,Weight (pounds),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWK00,Weight kg,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWE00,Whether resp sure of partner's weight,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWL00,Whether partner did paid work last week,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWA00,Whether partner had a job last week,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWR00,Main reason partner away from job last week,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWD00,Whether partner on paid leave,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWY00,Last time partner attend work - (self)employed : YEAR,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXWM00,Last time partner attend work - (self)employed : MONTH,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLS00,Whether partner has same job title as at last in,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLE00,Whether partner still emplyed by same employer,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLC00,Whether partner did job continuously since last,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLY00,When partner's job at last int ended (year),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXLM00,When partner's job at last int ended (month),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXAS00,Computed : Ask Job title,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJE00,Partner is employee or self-employed in main job,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJW00,Whether partner is paid salary/wage in main job,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJB0A,Self-employed/non-waged status MC1,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJB0B,Self-employed/non-waged status MC2,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJB0C,Self-employed/non-waged status MC3,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJB0D,Self-employed/non-waged status MC4,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXEM00,Eemployee or self emp,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJV00,Whether partner has managerial duties,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJF00,Whether partner supervises more than 25 people,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJC00,Type of organisation partner works for,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJH00,How many employees at partner's place of work,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJS00,How many people work for partner,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXES203A,Employment status,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXNSEC3A,NS-SEC - long version,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJY00,Start of period of - diff from last time - (self)employment of partner: YEAR,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXJM00,When started current job,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHM00,Whether work mainly from home,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHR00,Hours/week partner works in job,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHA00,Does partner work or overtime,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHU00,How many hours UNPAID overtime does partner do,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXHP00,How many hours PAID overtime does partner do,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXCY00,End of period of ff not-working of partner : YEAR,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXCM00,When period of not working ended,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXCK00,Current employment status,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXCN00,Whether worked continuously since last interview,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNY00,YEAR period of not working started,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNM00,MONTH period of not working started,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNW00,End of period of ff not-working status of partner : YEAR,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNE00,End of period of ff not-working status of partner : MONTH,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXBY00,End of period of ff (self)employment of partner : YEAR,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXBM00,End of period of ff (self)employment of partner : MONTH,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXGP00,Partner s gross pay (period covered),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXGA00,Partner s gross pay (range),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXGW00,Computed: Weekly amount from Pxgp/Pxga,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNS00,Whether partner s payslip consulted,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNP00,Period covered by payment,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNA00,Partner s Net amount earned last time paid (range),2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXKW00,Computed: Weekly amount from Pxnp/Pxna,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXNU00,Confirm whether partner s usual takehome pay?,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXUP00,What is usual takehome pay,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXUA00,Amount of takehome pay,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXUW00,Computed: Weekly amount from Pxup/Pxua,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXTS00,Amount of takehome self employed pay,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXEMPA1G,Age when left f/t education,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSUPM1G,Any new qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSOC21G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXXSOC1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXINDX1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXES201G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXNSEC1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSCFL1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSEGG1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSCAA1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSC901G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSCST1G,Which new academic qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSTJB1G,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXBK381G,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSTBX1G,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPSTA1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXYSRT1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXMSRT1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXDSRT1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXFTPT1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXEMPA1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSUPM1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSOC21H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXXSOC1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXINDX1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXES201H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXNSEC1H,Which new vocational qualifications,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXSCFL1H,End of proxy Interview,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXRE0R,Reason for proxy partner IW (A) - recoded,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXRZ0R,Reason for proxy interview (merged) - recoded,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
DXPXBX00_22,Partner's country of birth ISO3166 : Top coded to two letter country code or C,2022-01-03 05:16:06.760,mcs4_proxy_partner_interview_v0001_20211101
