,Source,Block Name,Variable Name,Variable Description,Value,Value Description
847479,MCS,mcs5_cm_derived,study_id_e,,,
847480,MCS,mcs5_cm_derived,pnum,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
847481,MCS,mcs5_cm_derived,pnum,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
847482,MCS,mcs5_cm_derived,pnum,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
847483,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,-9.0,Refusal
847484,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,-8.0,Dont know
847485,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,-1.0,Not applicable - Not codeable
847486,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,1.0,White
847487,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,2.0,Mixed
847488,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,3.0,Indian
847489,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,4.0,Pakistani and Bangladeshi
847490,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,5.0,Black or Black British
847491,MCS,mcs5_cm_derived,edce0600,S5 DV CM ethnic group classification - 6 categories,6.0,"Other Ethnic group (inc Chinese,Other)"
847492,MCS,mcs5_cm_derived,edce0800,S5 DV CM ethnic group classification - 8 categories,-9.0,Refusal
847493,MCS,mcs5_cm_derived,edce0800,S5 DV CM ethnic group classification - 8 categories,-8.0,Dont know
847494,MCS,mcs5_cm_derived,edce0800,S5 DV CM ethnic group classification - 8 categories,-1.0,Not applicable - Not codeable
847495,MCS,mcs5_cm_derived,edce0800,S5 DV CM ethnic group classification - 8 categories,1.0,White
847496,MCS,mcs5_cm_derived,edce0800,S5 DV CM ethnic group classification - 8 categories,2.0,Mixed
