variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
PNUM,Cohort Member number within an MCS family,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EDCE0600,S5 DV CM ethnic group classification - 6 categories,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EDCE0800,S5 DV CM ethnic group classification - 8 categories,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EDCE1100,S5 DV CM ethnic group classification - 11 categories,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
LOW,S5 DV Verbal Sims item base,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
HIGH,S5 DV Verbal Sims item ceiling,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EVSRAW,S5 DV Verbal Sims raw score,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EVSABIL,S5 DV Verbal Sims ability score,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EVSTSCO,S5 DV Verbal Sims standard score,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
RTFLAG,S5 DV Verbal Sims routing error flag,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
EVSAFLAG,S5 DV Verbal Sims ability score error flag,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTOUTCM,CGT Test Outcome,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTTTIME,CGT Test Duration (seconds),2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTDELAY,CGT Delay Aversion,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTDTIME,CGT Deliberation Time,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTOPBET,CGT Overall Proportional Bet,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTQOFDM,CGT Quality of Decision Making,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTRISKA,CGT Risk adjustment,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
CGTRISKT,CGT Risk taking,2022-01-03 05:09:40.393,mcs5_cm_derived_v0001_20211101
