,Source,Block Name,Variable Name,Variable Description,Value,Value Description
850534,MCS,mcs5_cm_interview,study_id_e,,,
850535,MCS,mcs5_cm_interview,pnum,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
850536,MCS,mcs5_cm_interview,pnum,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
850537,MCS,mcs5_cm_interview,pnum,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
850538,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,-9.0,Not answered
850539,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,-1.0,Not applicable
850540,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,1.0,Not true
850541,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,2.0,Somewhat true
850542,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,3.0,Certainly true
850543,MCS,mcs5_cm_interview,epsdpf00,CM considerate of other people's feelings,4.0,Donâ€™t know/Donâ€™t wish to answer
850544,MCS,mcs5_cm_interview,epsdro00,CM is restless,-9.0,Not answered
850545,MCS,mcs5_cm_interview,epsdro00,CM is restless,-1.0,Not applicable
850546,MCS,mcs5_cm_interview,epsdro00,CM is restless,1.0,Not true
850547,MCS,mcs5_cm_interview,epsdro00,CM is restless,2.0,Somewhat true
850548,MCS,mcs5_cm_interview,epsdro00,CM is restless,3.0,Certainly true
850549,MCS,mcs5_cm_interview,epsdro00,CM is restless,4.0,Donâ€™t know/Donâ€™t wish to answer
850550,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,-9.0,Not answered
850551,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,-1.0,Not applicable
850552,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,1.0,Not true
850553,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,2.0,Somewhat true
850554,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,3.0,Certainly true
850555,MCS,mcs5_cm_interview,epsdhs00,CM often complains of headaches/sickness,4.0,Donâ€™t know/Donâ€™t wish to answer
850556,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,-9.0,Not answered
850557,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,-1.0,Not applicable
850558,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,1.0,Not true
850559,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,2.0,Somewhat true
850560,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,3.0,Certainly true
850561,MCS,mcs5_cm_interview,epsdsr00,CM shares readily with other children,4.0,Donâ€™t know/Donâ€™t wish to answer
850562,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,-9.0,Not answered
850563,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,-1.0,Not applicable
850564,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,1.0,Not true
850565,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,2.0,Somewhat true
850566,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,3.0,Certainly true
850567,MCS,mcs5_cm_interview,epsdtt00,CM often has temper tantrums,4.0,Donâ€™t know/Donâ€™t wish to answer
850568,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,-9.0,Not answered
850569,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,-1.0,Not applicable
850570,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,1.0,Not true
850571,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,2.0,Somewhat true
850572,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,3.0,Certainly true
850573,MCS,mcs5_cm_interview,epsdsp00,CM is rather solitary,4.0,Donâ€™t know/Donâ€™t wish to answer
850574,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,-9.0,Not answered
850575,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,-1.0,Not applicable
850576,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,1.0,Not true
850577,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,2.0,Somewhat true
850578,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,3.0,Certainly true
850579,MCS,mcs5_cm_interview,epsdor00,CM is generally obedient,4.0,Donâ€™t know/Donâ€™t wish to answer
850580,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,-9.0,Not answered
850581,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,-1.0,Not applicable
850582,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,1.0,Not true
850583,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,2.0,Somewhat true
850584,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,3.0,Certainly true
850585,MCS,mcs5_cm_interview,epsdmw00,CM has many worries,4.0,Donâ€™t know/Donâ€™t wish to answer
850586,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,-9.0,Not answered
850587,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,-1.0,Not applicable
850588,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,1.0,Not true
850589,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,2.0,Somewhat true
850590,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,3.0,Certainly true
850591,MCS,mcs5_cm_interview,epsdhu00,CM helpful is someone is hurt,4.0,Donâ€™t know/Donâ€™t wish to answer
850592,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,-9.0,Not answered
850593,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,-1.0,Not applicable
850594,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,1.0,Not true
850595,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,2.0,Somewhat true
850596,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,3.0,Certainly true
850597,MCS,mcs5_cm_interview,epsdfs00,CM constantly fidgeting or squirming,4.0,Donâ€™t know/Donâ€™t wish to answer
850598,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,-9.0,Not answered
850599,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,-1.0,Not applicable
850600,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,1.0,Not true
850601,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,2.0,Somewhat true
850602,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,3.0,Certainly true
850603,MCS,mcs5_cm_interview,epsdgf00,CM has at least one good friend,4.0,Donâ€™t know/Donâ€™t wish to answer
850604,MCS,mcs5_cm_interview,epsdfb00,CM fights with or bullies other children,-9.0,Not answered
850605,MCS,mcs5_cm_interview,epsdfb00,CM fights with or bullies other children,-1.0,Not applicable
