variable_name,value_value,value_label,avail_from_dt,table_name
EACTRY00,1,England,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EACTRY00,2,Wales,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EACTRY00,3,Scotland,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EACTRY00,4,Northern Ireland,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,1,North East,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,2,North West,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,3,Yorkshire and the Humber,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,4,East Midlands,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,5,West Midlands,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,6,East of England,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,7,London,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,8,South East,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,9,South West,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,10,Wales,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,11,Scotland,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,12,Northern Ireland,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EAREGN00,13,Not app in IoM Ch Is,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,1,Both natural parents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,2,Natural mother and step-parent,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,3,Natural mother and other parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,4,Natural mother and adoptive parent,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,5,Natural father and step-parent,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,6,Natural father and other parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,7,Natural father and adoptive parent,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,8,Two adoptive parents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,9,Adoptive mother and other parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,10,Two foster parents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,11,Two grandparents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,12,Grandmother and other parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,13,Grandfather and other parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,14,Two other parents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,15,Natural mother only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,16,Natural father only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,17,Adoptive mother only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,18,Adoptive father only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,19,Step mother only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,20,Grandmother only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,21,Other parent/carer only (foster/sib/rel),2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,22,Step father only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,23,Unknown parent types,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,24,Grandfather only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYP00,25,Adoptive mother and step parent,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYS00,1,Two parents/carers,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHTYS00,2,One parent/carer,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERELP00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERELP00,1,Married,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERELP00,2,Cohabiting,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERELP00,3,Neither,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EOTHS00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENOCM00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETOTS00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENSIB00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENSIB00,1,At least 1 natural sib in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENSIB00,2,No natural sibs in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHSIB00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHSIB00,1,At least 1 half sib in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHSIB00,2,No half sibs in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ESSIB00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ESSIB00,1,At least 1 step sib in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ESSIB00,2,No step sibs in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EASIB00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EASIB00,1,At least 1 adoptive sib in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EASIB00,2,No adoptive sibs in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFSIB00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFSIB00,1,At least 1 foster sib in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFSIB00,2,No foster sibs in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EGPAR00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EGPAR00,1,At least 1 grandparent in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EGPAR00,2,No grandparents in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EOTHA00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EOTHA00,1,At least 1 'other' adult in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EOTHA00,2,No 'other' adults in HH,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENUMH00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETOTP00,-2,Not Known,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,-9,Refusal,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,-8,Don't know,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,1,Both in work,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,2,"Main in work, partner not",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,3,"Partner in work, main not",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,4,Both not in work,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,5,"Main in work or on leave, no partner",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,6,"Main not in work nor on leave, no partner",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,7,"Main work status unknown, partner in work",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,8,"Main work status unknown, partner not in work",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,9,"Main in work, partner work status unknown",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,10,"Main not in work, partner work status unknown",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ECWRK00,11,"Main working status unknown, no partner",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,1,Resident full-time in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,2,Resident part-time in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,3,Deceased,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,4,"Non-resident, in contact",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,5,"Non-resident, not in contact",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATM00,6,"Non resident, contact not known",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,1,Resident full-time in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,2,Resident part-time in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,3,Deceased,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,4,"Non-resident, in contact",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,5,"Non-resident, not in contact",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ENATF00,6,"Non resident, contact not known",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,-9,Refusal,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,-8,Don't know,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,1,Own outright,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,2,Own - mortgage/loan,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,3,Part rent/ part mortgage (shared equity),2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,4,Rent from local authority,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,5,Rent from housing association,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,6,Rent privately,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,7,Living with parents,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,8,Living rent free,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,9,Squatting,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EROOW00,10,Other,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMA00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,1,Month missing - estimated as June,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,2,New Family - no moving dates given,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,3,"Valid move date from MCS2,ADSA missing",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,4,"No move date at MCS2,MCS1 date assumed",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ETIMF00,5,No valid moving date at relevant sweep,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINT00,1,Interviewed in person,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINT00,2,Eligible but not interviewed,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINT00,3,No-one eligible for interview,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EPINT00,1,Partner interviewed in person,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EPINT00,2,Partner interviewed by proxy,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EPINT00,3,Partner eligible but not interviewed,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EPINT00,4,No-one eligible for Partner interview,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINH00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINH00,1,Resident in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINH00,2,Not resident in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EMINH00,3,Deceased,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFINH00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFINH00,1,Resident in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFINH00,2,Not resident in household,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EFINH00,3,Deceased,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,-9,Refusal,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,-8,Dont Know,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,1,Yes - English only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,2,"Yes - mostly English, sometimes other",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,3,Yes - about half English and half other,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,4,"No - mostly other, sometime English",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
EHLAN00,5,No - other language(s) only,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERSPO00,-1,Not applicable,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERSPO00,1,"Main resp in person, no eligible partner",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERSPO00,2,Main and partner respondent in person,2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERSPO00,3,"Main in person, partner by proxy",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
ERSPO00,4,"Main in person, partner elig but not interviewed",2022-01-03 03:40:54.220,mcs5_family_derived_v0001_20211101
