variable_name,variable_label,avail_from_dt,table_name
EPFCSX1I,Reasons choose sch Feeder schl,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPFCSX1J,Reasons choose sch No choice,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPFCSX1K,Reasons choose sch Has a 6th form,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPFCSX1L,Reasons choose sch Vague ,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPFCSM00,Most important factor in choosing to request a place at a school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0A,Steps taken to get CM into school (Moved home) MC1,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0B,Steps taken to get CM into school (Short-term renting) MC2,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0C,Steps taken to get CM into school (Used the address of a relative/frd) MC3,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0D,Steps taken to get CM into school (Got child into a particular school) MC4,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0E,Steps taken to get CM into school (Arranged extra tuition/coaching) MC5,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0F,Steps taken to get CM into school (Arranged for extra curric activities) MC6,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0G,Steps taken to get CM into school (Joined a church/place of worship) MC7,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0H,Steps taken to get CM into school (Asked someone influential to recommend) MC8,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0I,Steps taken to get CM into school (Other steps) MC9,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0J,Steps taken to get CM into school (Dont know) MC10,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0K,Steps taken to get CM into school (Refused) MC11,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRSTP0L,Steps taken to get CM into school (No answer) MC12,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPOTNU00,No of other secondary schools applied for,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0A,Which schools applied to Comprehensive,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0B,Which schools applied to Academy,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0C,Which schools applied to Free school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0D,Which schools applied to Grammar school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0E,Which schools applied to Faith  voluntary aided or voluntary controlled school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0F,Which schools applied to Independent,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0G,Which schools applied to Special school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0H,Which schools applied to Other type of school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0I,Which schools applied to Dont know,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSC0J,Which schools applied to Refused,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0A,(SWNI) Schools applied for (Comprehensive non-selective state school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0B,(SWNI) Schools applied for (Grammar school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0C,(SWNI) Schools applied for (Faith voluntary aided),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0D,(SWNI) Schools applied for (Independent,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0E,(SWNI) Schools applied for (Special school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0F,(SWNI) Schools applied for  (Other type of school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0G,(SWNI) Schools applied for (Dont know),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPTYSO0H,(SWNI) Schools applied for (Refused),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPSSAT00,how much is CM looking forward to secondary school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPSSCP00,How easy or difficult do you think CM will find moving to secondary school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPHOLS00,How many times been on holiday outside UK,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPLIBR00,How often CM visited library,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPRELI00,How often CM attended religious service,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPMUSC00,Does CM play a musical instrument,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPMUSL00,Do you pay for CM's lessons for a musical instrument,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPSEHO00,Days per week CM does sport/exercise,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLFR00,Frequency of non club/class physical activities,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCYCF00,How often does CM use a bicycle,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCYCT00,Has CM has any formal cycle training,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPVIFR00,How often CM spends time with friends outside school,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPLCLF00,Does CM makes journeys on foot (outside of school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPLCLB00,Does CM makes journeys on bike (outside of school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPLCLP00,Does CM makes journeys on public transport (outside of school),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWE00,Do you allow unsupervised time outside home with friends (at w/es),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWK00,Do you allow unsupervised time outside home with friends,2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0A,Why dont allow unsupervised o-s home w friends (Child not old enough),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0B,Why dont allow unsupervised o-s home w friends (Child not mature enough),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0C,Why dont allow unsupervised o-s home w friends (Danger from traffic),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0D,Why dont allow unsupervised o-s home w friends (Child has to do homework),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0E,Why dont allow unsupervised o-s home w friends (Child has other things to do),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0F,Why dont allow unsupervised o-s home w friends (Child no friends nearby),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0G,Why dont allow unsupervised o-s home w friends (Danger from adults),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0H,Why dont allow unsupervised o-s home w friends (Danger of bullying or assault),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0I,Why dont allow unsupervised o-s home w friends (Other concns over chld safety),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPPLWY0J,Why dont allow unsupervised o-s home w friends (Child doesnt want to),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0G,Affected by Mental health (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0H,Affected by Stamina or breathing or fatigue (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0I,Affected by Social or behavioural cond (eg associated with autism ADHD) (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0J,Affected by Other mention of condition or illness (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0K,Affected by Balance or dizzy or vertigo (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0L,Affected by Dietary issues or strict diet or food intolrnce or coeliac (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0M,Affected by Forbidden to drive (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0N,Affected by Sleeporsleep apoeniaordeprivation (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0O,Affected by Sloworto mobilise or underactive (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0P,Affected by Speech or communication problems (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0Q,Affected by Vulnerable to infection (eg colds) (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0R,Affected by None or not affected or Use this code when cond is under cntrl (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0S,Affected by Allergies(NOT food intolerances see dietry) (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0T,Affected by Alopecia (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0U,Affected by Anaemia (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0V,Affected by Anxiety or panic attacks or stress (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0W,Affected by Arthritis or fibromyalgia or spondylitis or prblms with joints (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0X,Affected by Asthma (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0Y,Affected by Back or vertibrae problems or scholiosis (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX0Z,Affected by Bladder problems or urine issues or incontinence (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX1A,Affected by Blood disorder eg clots or haemophilia or ITP (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
EPCLSX1B,Affected by Blood pressure issues or hypertension (A),2022-01-03 05:54:31.573,mcs5_parent_cm_interview_v0001_20211101
