,Source,Block Name,Variable Name,Variable Description,Value,Value Description
853973,MCS,mcs5_parent_derived,study_id_e,,,
853974,MCS,mcs5_parent_derived,pnum,Person Number for Main or (Proxy)Partner respondent,-1.0,Not applicable
853975,MCS,mcs5_parent_derived,eelig00,Eligibility for Interview,1.0,Main Interview
853976,MCS,mcs5_parent_derived,eelig00,Eligibility for Interview,2.0,Partner Interview
853977,MCS,mcs5_parent_derived,eelig00,Eligibility for Interview,3.0,Proxy Interview
853978,MCS,mcs5_parent_derived,eelig00,Eligibility for Interview,4.0,Not eligible
853979,MCS,mcs5_parent_derived,eresp00,Response to Interview,1.0,Main Interview
853980,MCS,mcs5_parent_derived,eresp00,Response to Interview,2.0,Partner Interview
853981,MCS,mcs5_parent_derived,eresp00,Response to Interview,3.0,Proxy Interview
853982,MCS,mcs5_parent_derived,eresp00,Response to Interview,4.0,No interview
853983,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),-9.0,Refusal
853984,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),-8.0,Don't know
853985,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),-1.0,Not applicable
853986,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),1.0,NVQ level 1
853987,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),2.0,NVQ level 2
853988,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),3.0,NVQ level 3
853989,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),4.0,NVQ level 4
853990,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),5.0,NVQ level 5
853991,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),95.0,Overseas qual only
853992,MCS,mcs5_parent_derived,ednvq00,S5 DV Respondent NVQ Highest Level (all sweeps),96.0,None of these
853993,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,-1.0,Not applicable
853994,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,1.0,Christian
853995,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,2.0,Muslim
853996,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,3.0,Hindu
853997,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,4.0,Sikh
853998,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,5.0,Jewish
853999,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,6.0,Buddhist
854000,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,7.0,Other
854001,MCS,mcs5_parent_derived,edrlg00,S5 DV Respondent religion - 7 category,8.0,None
854002,MCS,mcs5_parent_derived,edemp00,S5 DV Employment status for SOC coding,-1.0,Not applicable
854003,MCS,mcs5_parent_derived,edemp00,S5 DV Employment status for SOC coding,1.0,Employers - large organisations
854004,MCS,mcs5_parent_derived,edemp00,S5 DV Employment status for SOC coding,2.0,Employers - small organisations
854005,MCS,mcs5_parent_derived,edemp00,S5 DV Employment status for SOC coding,3.0,Self employed - no employers
854006,MCS,mcs5_parent_derived,edemp00,S5 DV Employment status for SOC coding,4.0,Managers  - large organisations
