variable_name,value_value,value_label,avail_from_dt,table_name
EXPXEV0J,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0J,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0K,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0K,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0K,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0L,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0L,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0L,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0M,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0M,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0M,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0N,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0N,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0N,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0O,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0O,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0O,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0P,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0P,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0P,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0Q,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0Q,0,No,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXEV0Q,1,Yes,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,1,Partner away in forces,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,2,Partner working away,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,3,Partner away in hospital,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,5,Partner away for some other reason,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,6,Partner incapacitated,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,7,Other (specify),2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,8,Dont know,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,9,Refused,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EXPXRE00_REC,99,Recoded - see SecureAccess data,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EPPXRX00_REC,-9,Refused,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EPPXRX00_REC,-8,Dont know,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
EPPXRX00_REC,-1,Not applicable,2022-01-03 04:40:58.623,mcs5_proxy_partner_interview_v0001_20211101
