variable_name,value_value,value_label,avail_from_dt,table_name
PNUM,1,1st Cohort Member of the family,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
PNUM,2,2nd Cohort Member of the family,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
PNUM,3,3rd Cohort Member of the family,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCSEX00,-1,Not known/Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCSEX00,1,Male,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCSEX00,2,Female,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,1,January,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,2,February,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,3,March,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,4,April,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,5,May,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,6,June,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,7,July,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,8,August,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,9,September,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,10,October,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,11,November,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBM00,12,December,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCDBY00,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCAGE00,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCVERSB0,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLSCSB0,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMNSB0,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,1,Less than 30 seconds,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,2,30 seconds to 1 minute,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,3,1 to <2 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,4,2 to <3 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,5,3 to <4 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,6,4 to <5 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,7,5 to <6 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,8,6 to <7 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,9,7 to <8 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,10,8 to <9 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,11,9 to <10 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,12,10 to <11 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,13,11 to <12 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,14,12 to <13 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,15,13 to <14 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,16,14 to <15 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,17,15 to <16 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,18,16 to <17 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,19,17 to <18 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,20,18 to <19 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,21,19 to <20 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,22,20 to <25 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,23,25 to <30 minutes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCLMBDB0,24,30 minutes or over,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCSESSB0,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2A,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2A,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2A,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2B,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2B,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2B,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2C,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2C,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2C,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2D,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2D,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHIC2D,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2A,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2A,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2A,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2B,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2B,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2B,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2C,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2C,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2C,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2D,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2D,0,No,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCHAC2D,1,Yes,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,1,always,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,2,best,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,3,neat,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,4,sick,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,5,fast (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGA,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,1,steps,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,2,reason,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,3,jetty,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,4,mountains,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,5,news (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGB,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,1,advise,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,2,hide (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,3,gather,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,4,freeze,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,5,conciliate,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGC,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,1,several,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,2,matchless (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,3,simple,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,4,ancient,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,5,absurd,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGD,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,1,tawny,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,2,obstinate,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,3,gloomy,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,4,muddy,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,5,doubtful(correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGE,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,1,trefoil,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,2,alluvial,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,3,trifling (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,4,eccentric,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,5,tawdry,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGF,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,1,conventional (correct answer),2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,2,angular,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,3,bohemian,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,4,liturgical,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,5,amazing,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGG,6,No answer,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGH,-3,Software error/respondent completed wrong activity,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGH,-1,Not applicable,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGH,1,aggressive,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
FCCMCOGH,2,humane,2022-01-03 06:09:22.433,mcs6_cm_cognitive_assessment_v0001_20211101
