variable_name,value_value,value_label,avail_from_dt,table_name
PNUM,1,1st Cohort Member of the family,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
PNUM,2,2nd Cohort Member of the family,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
PNUM,3,3rd Cohort Member of the family,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,-9,Refused,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,-8,Dont know,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,1,January,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,2,February,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,3,March,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,4,April,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,5,May,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,6,June,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,7,July,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,8,August,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,9,September,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,10,October,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,11,November,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTM00,12,December,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTY00,-9,Refused,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTY00,-8,Dont know,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCINTY00,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCSEX00,-1,Not known/Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCSEX00,1,Male,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCSEX00,2,Female,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,1,January,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,2,February,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,3,March,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,4,April,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,5,May,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,6,June,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,7,July,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,8,August,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,9,September,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,10,October,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,11,November,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBM00,12,December,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCDBY00,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCCAGE00,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,-9,Refusal,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,-8,Dont know,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,-1,Not applicable - Not codeable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,1,White,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,2,Mixed,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,3,Indian,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,4,Pakistani and Bangladeshi,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,5,Black or Black British,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0600,6,"Other Ethnic group (inc Chinese,Other)",2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,-9,Refusal,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,-8,Dont know,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,-1,Not applicable - Not codeable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,1,White,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,2,Mixed,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,3,Indian,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,4,Pakistani,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,5,Bangladeshi,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,6,Black Caribbean,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,7,Black African,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE0800,8,"Other Ethnic Group (inc Chinese, Other)",2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,-9,Refusal,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,-8,Dont know,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,-1,Not applicable - Not codeable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,1,White,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,2,Mixed,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,3,Indian,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,4,Pakistani,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,5,Bangladeshi,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,6,Other Asian,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,7,Black Caribbean,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,8,Black African,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,9,Other Black,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,10,Chinese,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FDCE1100,11,Other Ethnic Group,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOVWGT6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBESE6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCUNDWU6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOVWTU6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBESU6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCMCS6AG,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCBMIN6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBFLG6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBFLG6,0,Not overweight (including underweight),2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBFLG6,1,Overweight,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCOBFLG6,2,Obese,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCUK90O6,-1,Not applicable,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
FCUK90O6,1,Underweight,2022-01-03 05:40:00.597,mcs6_cm_derived_v0001_20211101
