variable_name,value_value,value_label,avail_from_dt,table_name
FHPREL0E,2,Partner/Cohabitee,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,3,Natural son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,4,Adopted son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,5,Foster son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,6,Step-son-daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,7,Natural parent,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,8,Adoptive parent,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,9,Foster parent,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,10,"Step-parent, partner of parent",2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,11,Natural brother/Natural sister,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,12,Half-brother/Half-sister,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,13,Step-brother/Step-sister,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,14,Adopted brother/Adopted sister,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,15,Foster brother/Foster sister,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,16,Grandchild,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,17,Grandparent,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,18,Nanny/au pair,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,19,Other relative,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,20,Other non-relative,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0E,96,Self,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,-1,Not known/Not applicable,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,1,Husband/Wife,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,2,Partner/Cohabitee,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,3,Natural son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,4,Adopted son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,5,Foster son/daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,6,Step-son-daughter,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
FHPREL0F,7,Natural parent,2022-01-03 05:43:14.767,mcs6_hhgrid_v0001_20211101
