,Source,Block Name,Variable Name,Variable Description,Value,Value Description
864054,MCS,mcs6_parent_assessment,study_id_e,,,
864055,MCS,mcs6_parent_assessment,pnum,Person Number for Main or Partner respondent,-1.0,Not applicable
864056,MCS,mcs6_parent_assessment,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),-1.0,Not applicable
864057,MCS,mcs6_parent_assessment,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),1.0,Main Interview
864058,MCS,mcs6_parent_assessment,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),2.0,Partner Interview
864059,MCS,mcs6_parent_assessment,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),3.0,Proxy Interview
864060,MCS,mcs6_parent_assessment,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),4.0,Not eligible
864061,MCS,mcs6_parent_assessment,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,-1.0,Not applicable
864062,MCS,mcs6_parent_assessment,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,1.0,Main Interview
864063,MCS,mcs6_parent_assessment,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,2.0,Partner Interview
864064,MCS,mcs6_parent_assessment,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,3.0,Proxy Interview
864065,MCS,mcs6_parent_assessment,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,4.0,No interview
864066,MCS,mcs6_parent_assessment,fpversc0,CogAssm_IWinf - Script version,-1.0,Not applicable
864067,MCS,mcs6_parent_assessment,fplscsc0,CogAssm_IWinf - Interview length in seconds,-1.0,Not applicable
864068,MCS,mcs6_parent_assessment,fplmnsc0,CogAssm_IWinf - Interview length in minutes,-1.0,Not applicable
864069,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,-1.0,Not applicable
864070,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,1.0,Less than 30 seconds
864071,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,2.0,30 seconds to 1 minute
864072,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,3.0,1 to <2 minutes
864073,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,4.0,2 to <3 minutes
864074,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,5.0,3 to <4 minutes
864075,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,6.0,4 to <5 minutes
864076,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,7.0,5 to <6 minutes
864077,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,8.0,6 to <7 minutes
864078,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,9.0,7 to <8 minutes
864079,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,10.0,8 to <9 minutes
864080,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,11.0,9 to <10 minutes
864081,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,12.0,10 to <11 minutes
864082,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,13.0,11 to <12 minutes
864083,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,14.0,12 to <13 minutes
864084,MCS,mcs6_parent_assessment,fplmbdc0,CogAssm_IWinf - Interview length in minutes banded,15.0,13 to <14 minutes
