variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
PNUM,Person Number for Main or Partner respondent,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FELIG00,Eligibility for interview (Main / (Proxy)Partner respondent role),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FRESP00,Response in survey: Whether respondent (of ELIG) participated in interview,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVERSC0,CogAssm_IWinf - Script version,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPLSCSC0,CogAssm_IWinf - Interview length in seconds,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPLMNSC0,CogAssm_IWinf - Interview length in minutes,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPLMBDC0,CogAssm_IWinf - Interview length in minutes banded,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPSESSC0,CogAssm_IWinf - Number of sessions,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPZ1CON0,CogAssm_IWinf - Written consent for word activity: MAIN/PARTNER,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTCON0,IWR: Check respondent is willing to complete Word Activity,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTSUR0,IWR: Check that respondent refused to complete word activity,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0A,MAIN Cognitive Test: 1 MOAN,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0B,MAIN Cognitive Test: 2 DISCIPLINE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0C,MAIN Cognitive Test: 3 FAULT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0D,MAIN Cognitive Test: 4 INACCURATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0E,MAIN Cognitive Test: 5 REPEL,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0F,MAIN Cognitive Test: 6 PERILOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0G,MAIN Cognitive Test: 7 DIFFERENTIATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0H,MAIN Cognitive Test: 8 FEASIBLE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0I,MAIN Cognitive Test: 9 BENEVOLENT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0J,MAIN Cognitive Test: 10 OMINOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0K,MAIN Cognitive Test: 11 TENUOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0L,MAIN Cognitive Test: 12 ASSENT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0M,MAIN Cognitive Test: 13 SONOROUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0N,MAIN Cognitive Test: 14 SOPORIFIC,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0O,MAIN Cognitive Test: 15 NOMENCLATURE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0P,MAIN Cognitive Test: 16 PRETENTIOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,MAIN Cognitive Test: 17 UBIQUITOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,MAIN Cognitive Test: 18 SUSTAIN,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,MAIN Cognitive Test: 19 PRINCIPLE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPMCOG0T,MAIN Cognitive Test: 20 SENSUAL,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0A,PARTNER Cognitive Test: 1 DETEST,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0B,PARTNER Cognitive Test: 2 ANGUISH,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0C,PARTNER Cognitive Test: 3 FERTILE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0D,PARTNER Cognitive Test: 4 INEVITABLE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0E,PARTNER Cognitive Test: 5 NEUTRAL,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0F,PARTNER Cognitive Test: 6 FATIQUE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0G,PARTNER Cognitive Test: 7 RECREATION,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0H,PARTNER Cognitive Test: 8 RADIANT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0I,PARTNER Cognitive Test: 9 PITEOUS,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0J,PARTNER Cognitive Test: 10 PUNGENT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0K,PARTNER Cognitive Test: 11 CORROBORATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0L,PARTNER Cognitive Test: 12 TEMERITY,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0M,PARTNER Cognitive Test: 13 TRACTABLE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0N,PARTNER Cognitive Test: 14 SUBJUGATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0O,PARTNER Cognitive Test: 15 SUPINE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0P,PARTNER Cognitive Test: 16 SPATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0Q,PARTNER Cognitive Test: 17 IMPLACABLE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0R,PARTNER Cognitive Test: 18 TACIT,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0S,PARTNER Cognitive Test: 19 ACQUIESCE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPPCOG0T,PARTNER Cognitive Test: 20 APOSTATE,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTDO00,IWR: Word activity completed? (MAIN/PARTNER),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTPDCK,IWR: Confirm Word activity not completed (MAIN/PARTNER),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOA,IWR: Others in room during activity (No),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOB,IWR: Others in room during activity (Yes - PARENT's spouse or partner),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOC,IWR: Others in room during activity (Yes - Cohort member),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOD,IWR: Others in room during activity (Yes - other household member (child)),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOE,IWR: Others in room during activity (Yes - other household member (adult)),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTWHOF,IWR: Others in room during activity (Yes - not a household member),2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
FPVTIMP0,IWR: Factors that may have impaired performance,2022-01-03 08:24:36.190,mcs6_parent_assessment_v0001_20211101
