variable_name,value_value,value_label,avail_from_dt,table_name
FPMCOG0Q,-1,Not applicable,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,1,omnipresent (correct answer),2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,2,perdition,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,3,adduce,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,4,muddy,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,5,viscous,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,6,No answer,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0Q,7,Respondent completed wrong activity,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,-1,Not applicable,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,1,mark,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,2,fight,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,3,nourish (correct answer),2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,4,ignoble,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,5,pursue,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,6,No answer,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0R,7,Respondent completed wrong activity,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,-1,Not applicable,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,1,conviction (correct answer),2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,2,chief,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,3,smallest,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,4,corrosion,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,5,governor,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,6,No answer,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0S,7,Respondent completed wrong activity,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0T,-1,Not applicable,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0T,1,clever,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0T,2,carnal (correct answer),2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
FPMCOG0T,3,emotional,2022-01-03 05:46:26.987,mcs6_parent_assessment_v0001_20211101
