variable_name,value_value,value_label,avail_from_dt,table_name
FPFTHS00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,1,No / not a faith school,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,2,Christian (Church of England),2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,3,Christian (Catholic),2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,4,Other Christian,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,5,Jewish,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,6,Islam/Muslim,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFTHS00,7,Other,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,-9,Refused,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,2,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPFHDE00,3,"SPONTANEOUS: No, not of that religion",2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,-9,Refused,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,1,Welsh only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,2,Mainly Welsh,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,3,About half Welsh and half English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,4,Mainly English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNWA00,5,English only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,-9,Refused,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,1,Gaelic only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,2,Mainly Gaelic,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,3,About half Gaelic and half English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,4,Mainly English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNSC00,5,English only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,-9,Refused,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,1,Irish only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,2,Mainly Irish,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,3,About half Irish and half English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,4,Mainly English,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPLNNI00,5,English only,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,-9,Refused,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,-8,Don't know,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,2,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPSASC00,3,Not moved to secondary school yet (stil,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0A,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0A,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0A,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0B,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0B,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0B,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0C,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0C,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0C,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0D,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0D,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0D,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0E,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0E,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0E,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0F,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0F,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0F,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0G,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0G,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0G,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0H,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0H,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0H,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0I,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0I,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0I,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0J,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0J,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0J,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0K,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0K,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0K,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0L,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0L,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0L,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0M,-1,Not applicable,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0M,0,No,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
FPCSWH0M,1,Yes,2022-01-03 08:09:27.007,mcs6_parent_cm_interview_v0001_20211101
