variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
PNUM,Person Number for Main or (Proxy)Partner respondent,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FELIG00,Eligibility for interview (Main / (Proxy)Partner respondent role),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FRESP00,Response in survey: Whether respondent (of ELIG) participated in interview,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDSAM00,DV Respondent same as at sweep 5,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDLST00,DV Respondent status at sweep 5,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDNVQ00,S6 DV Respondent NVQ Highest Level (all sweeps),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDRLG00,S6 DV Respondent religion - 7 category,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDEMP00,S6 DV Employment status for SOC coding,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDACAQ00,S6 DV NVQ equivalent of highest academic level across sweeps,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD17S00,S6 DV NS-SEC full version (current job),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD13S00,S6 DV NS-SEC 13 category (current job),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD07S00,S6 DV NS-SEC 7 category (current job),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD05S00,S6 DV NS-SEC 5 category (current job),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FPRXF00,S6 DV Proxy partner interview flag,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDWRK00,S6 DV Whether respondent is in work or not,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDRES00,S6 DV Respondent identity and interview status,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDACT00,S6 DV Respondent economic activity status,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDEEA00_R10,S6 DV Respondent's Ethnic Group (England)    [counts less than 10 recoded],2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDEWA00_R10,S6 DV Respondent's Ethnic Group (Wales)  [counts less than 10 recoded],2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDESA00_R10,S6 DV Respondent's Ethnic Group (Scotland)   [counts less than 10 recoded],2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDENA00,S6 DV Respondent's Ethnic Group (Northern Ireland),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD06E00,S6 DV Respondent's ethnic group - 6 category census classification (UK),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD11E00,S6 DV Respondent's ethnic group - 11 category census classification (UK),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FD08E00,S6 DV Respondent's ethnic group - 8 category census classification (UK),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDREL00,S6 DV Respondent relationship to CM,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDAGI00,S6 DV Respondent Age at Interview,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDGAI00,S6 DV Respondent Age at Interview (grouped),2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDKESSL,S6 DV Kessler K6 Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDOPEN,S6 DV OCEAN - Openness Sub Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDCONSC,S6 DV OCEAN - Conscientiousness Sub Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDEXTRAV,S6 DV OCEAN - Extraversion Sub Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDAGREE,S6 DV OCEAN - Agreeableness Sub Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDNEUROT,S6 DV OCEAN - Neuroticism Sub Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FDAUDIT,S6 DV AUDIT-PC Scale,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FPWRDSCM,Main word activity score out of 20,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
FPWRDSCP,Partner word activity score out of 20,2022-01-03 08:12:39.233,mcs6_parent_derived_v0001_20211101
