variable_name,value_value,value_label,avail_from_dt,table_name
PNUM,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FELIG00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FELIG00,1,Main Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FELIG00,2,Partner Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FELIG00,3,Proxy Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FELIG00,4,Not eligible,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FRESP00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FRESP00,1,Main Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FRESP00,2,Partner Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FRESP00,3,Proxy Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FRESP00,4,No interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDSAM00,-1,Family not present at MCS5,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDSAM00,1,Yes,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDSAM00,2,No,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDLST00,-1,Family not present at MCS5,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDLST00,1,Main Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDLST00,2,Partner Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDLST00,3,Proxy Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDLST00,4,No Interview,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,-9,Refusal,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,-8,Don't know,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,1,NVQ level 1,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,2,NVQ level 2,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,3,NVQ level 3,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,4,NVQ level 4,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,5,NVQ level 5,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,95,Overseas qual only,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDNVQ00,96,None of these,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,1,Christian,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,2,Muslim,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,3,Hindu,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,4,Sikh,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,5,Jewish,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,6,Buddhist,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,7,Other,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDRLG00,8,None,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,1,Employers - large organisations,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,2,Employers - small organisations,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,3,Self employed - no employers,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,4,Managers  - large organisations,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,5,Managers  - small organisations,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,6,Supervisors,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDEMP00,7,Other employees,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,1,NVQ Level 1,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,2,NVQ Level 2,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,3,NVQ Level 3,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,4,NVQ Level 4,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,5,NVQ Level 5,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,95,Overseas qualification only,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FDACAQ00,96,None of these,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,-1,Not applicable,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,1,Large emp,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,2,Hi manag,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,3.1,Hi prof trad,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,3.2,Hi prof new,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,3.3,Hi prof trad s-emp,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,3.4,Hi prof new s-emp,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,4.1,Lo prof trad,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,4.2,Lo prof new,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
FD17S00,4.3,Lo prof trad s-emp,2022-01-03 07:49:05.593,mcs6_parent_derived_v0001_20211101
