,Source,Block Name,Variable Name,Variable Description,Value,Value Description
866438,MCS,mcs6_parent_interview,study_id_e,,,
866439,MCS,mcs6_parent_interview,pnum,Person Number for Main or Partner respondent,-1.0,Not applicable
866440,MCS,mcs6_parent_interview,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),-1.0,Not applicable
866441,MCS,mcs6_parent_interview,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),1.0,Main Interview
866442,MCS,mcs6_parent_interview,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),2.0,Partner Interview
866443,MCS,mcs6_parent_interview,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),3.0,Proxy Interview
866444,MCS,mcs6_parent_interview,felig00,Eligibility for interview (Main / (Proxy)Partner respondent role),4.0,Not eligible
866445,MCS,mcs6_parent_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,-1.0,Not applicable
866446,MCS,mcs6_parent_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,1.0,Main Interview
866447,MCS,mcs6_parent_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,2.0,Partner Interview
866448,MCS,mcs6_parent_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,3.0,Proxy Interview
866449,MCS,mcs6_parent_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,4.0,No interview
866450,MCS,mcs6_parent_interview,fpintm00,Interview date (month),-9.0,Refused
866451,MCS,mcs6_parent_interview,fpintm00,Interview date (month),-8.0,Dont know
866452,MCS,mcs6_parent_interview,fpintm00,Interview date (month),-1.0,Not applicable
866453,MCS,mcs6_parent_interview,fpintm00,Interview date (month),1.0,January
866454,MCS,mcs6_parent_interview,fpintm00,Interview date (month),2.0,February
866455,MCS,mcs6_parent_interview,fpintm00,Interview date (month),3.0,March
866456,MCS,mcs6_parent_interview,fpintm00,Interview date (month),4.0,April
866457,MCS,mcs6_parent_interview,fpintm00,Interview date (month),5.0,May
866458,MCS,mcs6_parent_interview,fpintm00,Interview date (month),6.0,June
866459,MCS,mcs6_parent_interview,fpintm00,Interview date (month),7.0,July
866460,MCS,mcs6_parent_interview,fpintm00,Interview date (month),8.0,August
866461,MCS,mcs6_parent_interview,fpintm00,Interview date (month),9.0,September
866462,MCS,mcs6_parent_interview,fpintm00,Interview date (month),10.0,October
866463,MCS,mcs6_parent_interview,fpintm00,Interview date (month),11.0,November
866464,MCS,mcs6_parent_interview,fpintm00,Interview date (month),12.0,December
866465,MCS,mcs6_parent_interview,fpinty00,Interview date (year),-9.0,Refused
866466,MCS,mcs6_parent_interview,fpinty00,Interview date (year),-8.0,Dont know
866467,MCS,mcs6_parent_interview,fpinty00,Interview date (year),-1.0,Not applicable
866468,MCS,mcs6_parent_interview,fppage00,Person s age last birthday,-9.0,Refused
866469,MCS,mcs6_parent_interview,fppage00,Person s age last birthday,-8.0,Dont know
866470,MCS,mcs6_parent_interview,fppage00,Person s age last birthday,-1.0,Not applicable
