,Source,Block Name,Variable Name,Variable Description,Value,Value Description
875755,MCS,mcs6_proxy_partner_interview,study_id_e,,,
875756,MCS,mcs6_proxy_partner_interview,pnum,Person Number,-1.0,Not applicable
875757,MCS,mcs6_proxy_partner_interview,felig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,-1.0,Not applicable
875758,MCS,mcs6_proxy_partner_interview,felig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,1.0,Main Interview
875759,MCS,mcs6_proxy_partner_interview,felig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,2.0,Partner Interview
875760,MCS,mcs6_proxy_partner_interview,felig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,3.0,Proxy Interview
875761,MCS,mcs6_proxy_partner_interview,felig00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,4.0,Not eligible
875762,MCS,mcs6_proxy_partner_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,-1.0,Not applicable
875763,MCS,mcs6_proxy_partner_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,1.0,Main Interview
875764,MCS,mcs6_proxy_partner_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,2.0,Partner Interview
875765,MCS,mcs6_proxy_partner_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,3.0,Proxy Interview
875766,MCS,mcs6_proxy_partner_interview,fresp00,Response in survey: Whether respondent (of ELIG) participated in interview,4.0,No interview
875767,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),-9.0,Refused
875768,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),-8.0,Dont know
875769,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),-1.0,Not applicable
875770,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),1.0,January
875771,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),2.0,February
875772,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),3.0,March
875773,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),4.0,April
875774,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),5.0,May
875775,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),6.0,June
875776,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),7.0,July
875777,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),8.0,August
875778,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),9.0,September
875779,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),10.0,October
875780,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),11.0,November
875781,MCS,mcs6_proxy_partner_interview,fxintm00,Interview date (month),12.0,December
875782,MCS,mcs6_proxy_partner_interview,fxinty00,Interview date (year),-9.0,Refused
875783,MCS,mcs6_proxy_partner_interview,fxinty00,Interview date (year),-8.0,Dont know
875784,MCS,mcs6_proxy_partner_interview,fxinty00,Interview date (year),-1.0,Not applicable
875785,MCS,mcs6_proxy_partner_interview,fxpage00,Person s age last birthday,-9.0,Refused
875786,MCS,mcs6_proxy_partner_interview,fxpage00,Person s age last birthday,-8.0,Dont know
875787,MCS,mcs6_proxy_partner_interview,fxpage00,Person s age last birthday,-1.0,Not applicable
875788,MCS,mcs6_proxy_partner_interview,fxpsex00,Person sex,-1.0,Not known/Not applicable
875789,MCS,mcs6_proxy_partner_interview,fxpsex00,Person sex,1.0,Male
875790,MCS,mcs6_proxy_partner_interview,fxpsex00,Person sex,2.0,Female
875791,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,-1.0,Not known
875792,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,1.0,Husband/Wife
875793,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,2.0,Partner/Cohabitee
875794,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,3.0,Natural son/daughter
875795,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,4.0,Adopted son/daughter
875796,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,5.0,Foster son/daughter
875797,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,6.0,Step-son-daughter
875798,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,7.0,Natural parent
875799,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,8.0,Adoptive parent
875800,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,9.0,Foster parent
875801,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,10.0,"Step-parent, partner of parent"
875802,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,11.0,Natural brother/Natural sister
875803,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,12.0,Half-brother/Half-sister
875804,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,13.0,Step-brother/Step-sister
875805,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,14.0,Adopted brother/Adopted sister
875806,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,15.0,Foster brother/Foster sister
875807,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,16.0,Grandchild
875808,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,17.0,Grandparent
875809,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,18.0,Nanny/au pair
875810,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,19.0,Other relative
875811,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,20.0,Other non-relative
875812,MCS,mcs6_proxy_partner_interview,fxcrel00,Person s relationship to CM,96.0,Self
875813,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),-9.0,Refused
875814,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),-8.0,Dont know
875815,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),-1.0,Not applicable
875816,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),1.0,January
875817,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),2.0,February
875818,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),3.0,March
875819,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),4.0,April
875820,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),5.0,May
875821,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),6.0,June
875822,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),7.0,July
875823,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),8.0,August
875824,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),9.0,September
875825,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),10.0,October
875826,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),11.0,November
875827,MCS,mcs6_proxy_partner_interview,fxpdbm00,Person DOB (month),12.0,December
875828,MCS,mcs6_proxy_partner_interview,fxpdby00,Person DOB (year),-9.0,Refused
875829,MCS,mcs6_proxy_partner_interview,fxpdby00,Person DOB (year),-8.0,Dont know
875830,MCS,mcs6_proxy_partner_interview,fxpdby00,Person DOB (year),-1.0,Not applicable
875831,MCS,mcs6_proxy_partner_interview,fxpjob00,Is person currently in work,-1.0,Not applicable
875832,MCS,mcs6_proxy_partner_interview,fxpjob00,Is person currently in work,1.0,Yes
875833,MCS,mcs6_proxy_partner_interview,fxpjob00,Is person currently in work,2.0,No
875834,MCS,mcs6_proxy_partner_interview,fxpsty00,When did person start living here (year),-9.0,Refused
875835,MCS,mcs6_proxy_partner_interview,fxpsty00,When did person start living here (year),-8.0,Dont know
875836,MCS,mcs6_proxy_partner_interview,fxpsty00,When did person start living here (year),-1.0,Not applicable
875837,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),-9.0,Refused
875838,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),-8.0,Dont know
875839,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),-1.0,Not applicable
875840,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),1.0,January
875841,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),2.0,February
875842,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),3.0,March
875843,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),4.0,April
875844,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),5.0,May
875845,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),6.0,June
875846,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),7.0,July
875847,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),8.0,August
875848,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),9.0,September
875849,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),10.0,October
875850,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),11.0,November
875851,MCS,mcs6_proxy_partner_interview,fxpstm00,When did person start living here (month),12.0,December
875852,MCS,mcs6_proxy_partner_interview,fxpful00,Present in household full time,1.0,Yes - lives here all the time
875853,MCS,mcs6_proxy_partner_interview,fxpful00,Present in household full time,2.0,No - also lives somewhere else
875854,MCS,mcs6_proxy_partner_interview,fxintro0,MCS6ParProxy entry flag,-1.0,Not applicable
875855,MCS,mcs6_proxy_partner_interview,fxintro0,MCS6ParProxy entry flag,0.0,Not answered
875856,MCS,mcs6_proxy_partner_interview,fxintro0,MCS6ParProxy entry flag,1.0,Answered
875857,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),-1.0,Not applicable
875858,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),1.0,Partner away in forces
875859,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),2.0,Partner working away
875860,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),3.0,Partner away in hospital
875861,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),4.0,Partner away in prison
875862,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),5.0,Partner away for some other reason (PLE
875863,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),6.0,Partner incapacitated (unable to unders
875864,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),7.0,Other (PLEASE SPECIFY)
875865,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),8.0,Don`t know
875866,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),9.0,Refused
875867,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),10.0,Vague irrelevant answer
875868,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),11.0,Proxy done in error
875869,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),12.0,On holiday/visiting family/visiting fam
875870,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),13.0,Sick/ ill / recovering from operation
875871,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),14.0,Not here/not available/away
875872,MCS,mcs6_proxy_partner_interview,fxpxre00,Reason for proxy partner IW (main responds as a proxy about partner) (A),15.0,Not in country/leaving abroad
875873,MCS,mcs6_proxy_partner_interview,fxpxin00,Proceed with proxy interview,-1.0,Not applicable
875874,MCS,mcs6_proxy_partner_interview,fxpxin00,Proceed with proxy interview,1.0,Continue with PROXY interview
875875,MCS,mcs6_proxy_partner_interview,fxpxin00,Proceed with proxy interview,2.0,Refused PROXY interview
875876,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,-9.0,Refused
875877,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,-8.0,Don't know
875878,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,-1.0,Not applicable
875879,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,1.0,Legally separated
875880,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,2.0,"Married, 1st and only marriage"
875881,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,3.0,"Remarried, 2nd or later marriage"
875882,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,4.0,"Single, never married and never in a Ci"
875883,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,5.0,Divorced
875884,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,6.0,Widowed
875885,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,7.0,A Civil Partner in a legally recognised
875886,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,8.0,A former Civil Partner (where Civil Par
875887,MCS,mcs6_proxy_partner_interview,fxpxms00,Partner s current legal marital status,9.0,A surviving Civil Partner (where Civil
875888,MCS,mcs6_proxy_partner_interview,fxpxoack,IWR: check single =/= hh grid (PXMS 1),-1.0,Not applicable
875889,MCS,mcs6_proxy_partner_interview,fxpxoack,IWR: check single =/= hh grid (PXMS 1),1.0,Amend
875890,MCS,mcs6_proxy_partner_interview,fxpxoack,IWR: check single =/= hh grid (PXMS 1),2.0,Continue
875891,MCS,mcs6_proxy_partner_interview,fxpxobck,IWR: check civil partnership =/= hh grid (PXMS 2),-1.0,Not applicable
875892,MCS,mcs6_proxy_partner_interview,fxpxobck,IWR: check civil partnership =/= hh grid (PXMS 2),1.0,Amend Marital Status
875893,MCS,mcs6_proxy_partner_interview,fxpxobck,IWR: check civil partnership =/= hh grid (PXMS 2),2.0,Continue
