variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
PNUM,Cohort Member number within an MCS family,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCCHIC100,CM consents to Cognitive Assessment,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAEX00,Example question Correct answer: E,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAEG1,Practice question 1 Correct answer: G,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAEG2,Practice question 2 Correct answer: L,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAEG3,Practice question 3 Correct answer: U,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0A,Cognitive Assessment Question 1 Correct answer: E,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0B,Cognitive Assessment Question 2 Correct answer: F,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0C,Cognitive Assessment Question 3 Correct answer: N,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0D,Cognitive Assessment Question 4 Correct answer: U,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0E,Cognitive Assessment Question 5 Correct answer: A,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0F,Cognitive Assessment Question 6 Correct answer: K,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0G,Cognitive Assessment Question 7 Correct answer: P,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0H,Cognitive Assessment Question 8 Correct answer: U,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0I,Cognitive Assessment Question 9 Correct answer: B,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
GCNAAS0J,Cognitive Assessment Question 10 Correct answer: K,2022-01-03 08:54:38.267,mcs7_cm_cognitive_assessment_v0001_20211101
