variable_name,variable_label,avail_from_dt,table_name
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDHTYP00,S7 DV Parents/Carers in Household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDHTYS00,S7 DV Summary of Parents/Carers in Household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDRELP00,S7 DV Relationship between Parents/Carers in Household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDNATM00,S7 DV Natural mother status,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDMINH00,S7 DV Natural mother in HH,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDNATF00,S7 DV Natural father status,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDFINH00,S7 DV Natural father in HH,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDOTHS00,S7 DV Number of siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDNOCM00,S7 DV Number of CMs in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDTOTS00,S7 DV Number of sibs in hhold plus CMs,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDNSIB00,S7 DV Natural siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDHSIB00,S7 DV Half siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDSSIB00,S7 DV Step siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDASIB00,S7 DV Adoptive siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDFSIB00,S7 DV Foster siblings of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDGPAR00,S7 DV Grandparent of CM in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDOTHA00,S7 DV Other adult in household,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDNUMH00,S7 DV Number of people in HH excluding CMs,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
GDTOTP00,S7 DV Number of people in HH including CMs,2022-01-03 09:12:41.297,mcs7_family_derived_v0001_20211101
