,Source,Block Name,Variable Name,Variable Description,Value,Value Description
881989,MCS,mcs7_family_interview,g_country,IWR: country of interview,-1.0,Not applicable
881990,MCS,mcs7_family_interview,g_country,IWR: country of interview,1.0,England
881991,MCS,mcs7_family_interview,g_country,IWR: country of interview,2.0,Wales
881992,MCS,mcs7_family_interview,g_country,IWR: country of interview,3.0,Scotland
881993,MCS,mcs7_family_interview,g_country,IWR: country of interview,4.0,NI
881994,MCS,mcs7_family_interview,ghnrml00,Address: normally live at this address or somewhere else?,-1.0,Not applicable
881995,MCS,mcs7_family_interview,ghnrml00,Address: normally live at this address or somewhere else?,1.0,This address
881996,MCS,mcs7_family_interview,ghnrml00,Address: normally live at this address or somewhere else?,2.0,Somewhere else
881997,MCS,mcs7_family_interview,ghnrml00,Address: normally live at this address or somewhere else?,3.0,Do not know
881998,MCS,mcs7_family_interview,ghnrml00,Address: normally live at this address or somewhere else?,4.0,Refused
881999,MCS,mcs7_family_interview,ghadsa00,Same address as of last interview?,-1.0,Not applicable
882000,MCS,mcs7_family_interview,ghadsa00,Same address as of last interview?,1.0,Yes
882001,MCS,mcs7_family_interview,ghadsa00,Same address as of last interview?,2.0,No
882002,MCS,mcs7_family_interview,ghadsa00,Same address as of last interview?,3.0,Do not know
882003,MCS,mcs7_family_interview,ghadsa00,Same address as of last interview?,4.0,Prefer not to answer
882004,MCS,mcs7_family_interview,ghadsm00,Did one of the CMs move with one of the parents since last interview?,-1.0,Not applicable
882005,MCS,mcs7_family_interview,ghadsm00,Did one of the CMs move with one of the parents since last interview?,1.0,Yes
882006,MCS,mcs7_family_interview,ghadsm00,Did one of the CMs move with one of the parents since last interview?,2.0,No
882007,MCS,mcs7_family_interview,ghadsm00,Did one of the CMs move with one of the parents since last interview?,3.0,Do not know
882008,MCS,mcs7_family_interview,ghadsm00,Did one of the CMs move with one of the parents since last interview?,4.0,Prefer not to answer
882009,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,-9.0,Refused
882010,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,-8.0,Do not know
882011,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,-5.0,Never lived at the address given
882012,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,-1.0,Not applicable
882013,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,1.0,2000
882014,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,2.0,2001
882015,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,3.0,2002
882016,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,4.0,2003
882017,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,5.0,2004
882018,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,6.0,2005
882019,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,7.0,2006
882020,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,8.0,2007
882021,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,9.0,2008
882022,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,10.0,2009
882023,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,11.0,2010
882024,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,12.0,2011
882025,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,13.0,2012
882026,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,14.0,2013
882027,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,15.0,2014
882028,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,16.0,2015
882029,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,17.0,2016
882030,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,18.0,2017
882031,MCS,mcs7_family_interview,ghmoyr00,When did <address at last interview> stop being CM s main address? YEAR,19.0,2018
