variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
PNUM,Person number within an MCS family (excl Cohort Members,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPSEX00,Person s (CM)gender / (PAR)sex [corrected or collected first time],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPDBM00,Person s DOB: same as in FF [corrected or collected first time] MONTH,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPDBY00,Person s DOB: same as in FF [corrected or collected first time] YEAR,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPAGE00,Person s age last birthday (calculated if DoB present),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPDCY00,Date CM/person passed away : YEAR,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPDCM00,Date CM/person passed away : MONTH,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPSPY00,End of period of person living in Household with CM : YEAR,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPSPM00,End of period of person living in Household with CM : MONTH,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPSTY00,Start of period of person living with CM : YEAR,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPSTM00,Start of period of person living with CM : MONTH,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPFUL00,Person resident of house or lives elsewhere,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPJOB00,Is person (PNUM) currently in paid work?,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPRES00,Person Present in household,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCREL00,Relationship to CM (S7 for CM1),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0A,Person X=1 s relationship to person Y (PNUM) Person X=1 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0B,Person X=2 s relationship to person Y (PNUM) Person X=2 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0C,Person X=3 s relationship to person Y (PNUM) Person X=3 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0D,Person X=4 s relationship to person Y (PNUM) Person X=4 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0E,Person X=5 s relationship to person Y (PNUM) Person X=5 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0F,Person X=6 s relationship to person Y (PNUM) Person X=6 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0G,Person X=7 s relationship to person Y (PNUM) Person X=7 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0H,Person X=8 s relationship to person Y (PNUM) Person X=8 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0I,Person X=9 s relationship to person Y (PNUM) Person X=9 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0J,Person X=10 s relationship to person Y (PNUM) Person X=10 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0K,Person X=11 s relationship to person Y (PNUM) Person X=11 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0L,Person X=12 s relationship to person Y (PNUM) Person X=12 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0M,Person X=13 s relationship to person Y (PNUM) Person X=13 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0N,Person X=14 s relationship to person Y (PNUM) Person X=14 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0O,Person X=15 s relationship to person Y (PNUM) Person X=15 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0P,Person X=16 s relationship to person Y (PNUM) Person X=16 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0Q,Person X=17 s relationship to person Y (PNUM) Person X=17 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0R,Person X=18 s relationship to person Y (PNUM) Person X=18 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0S,Person X=19 s relationship to person Y (PNUM) Person X=19 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0T,Person X=20 s relationship to person Y (PNUM) Person X=20 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0U,Person X=21 s relationship to person Y (PNUM) Person X=21 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0V,Person X=22 s relationship to person Y (PNUM) Person X=22 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0W,Person X=23 s relationship to person Y (PNUM) Person X=23 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0X,Person X=24 s relationship to person Y (PNUM) Person X=24 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPREL0Y,Person X=25 s relationship to person Y (PNUM) Person X=25 [corrected or collected first time at S7],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GCNUM00,Cohort Member number within an MCS family,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCSEX00,Person s (CM)gender / (PAR)sex [corrected or collected first time],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCAGE00,Person s age last birthday (calculated if DoB present),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCDBM00,CM DOB [Month],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCDBY00,CM DOB [Year],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCPRS00,CM Present in household,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHCFUL00,Person resident of house or lives elsewhere,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GELIG00,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHHSTR00,Person who completes the Household interview (CNUM / PNUM in PGRD),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHPGRD00,Person who completed the Household interview [After HH interview: PNUM from household grid],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHINTM00,[Household Interview] Start [MONTH],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GHINTY00,[Household Interview] Start [YEAR],2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_CORE_FINOUT,Final outcome of household / family for Core sample (not online follow-up Boost),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_SAMPLE,Sample type: Core (f2f),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_HHQ,Outcome for HHQ interview,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_CMCAPI,Outcome for CM CAPI interview (f2f),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_CMCASI,Outcome for CM CASI interview (self-completion in household),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_CMCAWI,Outcome for CM CAWI interview (web),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_PHYSMEAS,Outcome for CM Physical Measurements,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_COGASS,Outcome for CM Cognitive Assessment,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_PARCAWI,Outcome for Parent CAWI interview (web),2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
G_OUT_CMBOOST,Outcome for CM Boost interview (web) for Boost sample only,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GACTRY00,Country relabelled,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
GAREGN00,Region relabelled,2022-01-03 10:15:57.810,mcs7_hhgrid_v0001_20211101
