variable_name,value_value,value_label,avail_from_dt,table_name
GHCSEX00,3,[spontaneous] other way,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCAGE00,-9,Refused,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCAGE00,-8,Do not know,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCAGE00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,-9,Refused,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,-8,Do not know,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,1,January,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,2,February,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,3,March,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,4,April,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,5,May,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,6,June,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,7,July,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,8,August,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,9,September,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,10,October,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,11,November,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBM00,12,December,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBY00,-9,Refused,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBY00,-8,Do not know,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCDBY00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,-9,Refused,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,-8,Do not know,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,1,Present,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,2,Left,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,3,Died,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCPRS00,4,Never in HH,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCFUL00,-9,Refused,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCFUL00,-8,Do not know,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCFUL00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCFUL00,1,Yes - lives here all the time,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHCFUL00,2,No - also lives somewhere else,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GELIG00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GELIG00,1,Main Interview,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GELIG00,2,Partner Interview,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GELIG00,3,Proxy Partner Interview,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GELIG00,4,Not eligible for interview,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHHSTR00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHHSTR00,4,Someone else,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHHSTR00,100,CM 1,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHHSTR00,200,CM 2,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHHSTR00,300,CM 3,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,-1,Not applicable,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,1,Person 1,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,2,Person 2,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,3,Person 3,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,4,Person 4,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,5,Person 5,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,6,Person 6,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,7,Person 7,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,8,Person 8,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,9,Person 9,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,10,Person 10,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,11,Person 11,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,12,Person 12,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,13,Person 13,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,14,Person 14,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,15,Person 15,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,16,Person 16,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,17,Person 17,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,18,Person 18,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,19,Person 19,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,20,Person 20,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,21,Person 21,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,22,Person 22,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,23,Person 23,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
GHPGRD00,24,Person 24,2022-01-03 09:09:26.937,mcs7_hhgrid_v0001_20211101
