variable_name,value_value,value_label,avail_from_dt,table_name
GCNUM00,1,1st Cohort Member of the family,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GCNUM00,2,2nd Cohort Member of the family,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GCNUM00,3,3rd Cohort Member of the family,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
G_OUT_PARQUEST,1,Parent CAWI and Parent-reported SDQ (paper),2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
G_OUT_PARQUEST,2,Parent CAWI only,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
G_OUT_PARQUEST,3,Parent-reported SDQ (paper),2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPCMED00,1,Yes,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPCMED00,2,No,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPCMED00,3,Do not know,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPCMED00,4,I do not wish to answer,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPCMED00,5,No answer,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,1,Very involved,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,2,Fairly involved,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,3,Not very involved,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,4,Not at all involved,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,5,Do not know,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,6,I do not wish to answer,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPSCHL00,7,No answer,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,1,Very likely,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,2,Fairly likely,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,3,Not very likely,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,4,Not at all likely,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,5,Do not know,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
GPASLU00,6,I do not wish to answer,2022-01-03 09:37:33.163,mcs7_parent_cm_interview_v0001_20211101
