,Source,Block Name,Variable Name,Variable Description,Value,Value Description
883823,MCS,mcs_longitudinal_family_file,nocmhh,Number of cohort children in household at entry to survey,,
883824,MCS,mcs_longitudinal_family_file,sentry,Sweep in which Family entered study,-1.0,Not applicable
883825,MCS,mcs_longitudinal_family_file,sentry,Sweep in which Family entered study,1.0,Sweep 1
883826,MCS,mcs_longitudinal_family_file,sentry,Sweep in which Family entered study,2.0,Sweep 2
883827,MCS,mcs_longitudinal_family_file,country,Country as at MCS sampling,-1.0,Not applicable
883828,MCS,mcs_longitudinal_family_file,country,Country as at MCS sampling,1.0,England
883829,MCS,mcs_longitudinal_family_file,country,Country as at MCS sampling,2.0,Wales
883830,MCS,mcs_longitudinal_family_file,country,Country as at MCS sampling,3.0,Scotland
883831,MCS,mcs_longitudinal_family_file,country,Country as at MCS sampling,4.0,NI
883832,MCS,mcs_longitudinal_family_file,ptty00,Point type,-1.0,Not applicable
883833,MCS,mcs_longitudinal_family_file,ptty00,Point type,1.0,Advantaged
883834,MCS,mcs_longitudinal_family_file,ptty00,Point type,2.0,Disadvantaged
883835,MCS,mcs_longitudinal_family_file,ptty00,Point type,3.0,Ethnic
883836,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,-1.0,Not applicable
883837,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,1.0,England - Advantaged
883838,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,2.0,England - Disadvantaged
883839,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,3.0,England - Ethnic
883840,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,4.0,Wales - Advantaged
883841,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,5.0,Wales - Disadvantaged
883842,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,6.0,Scotland - Advantaged
883843,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,7.0,Scotland - Disadvantaged
883844,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,8.0,Northern Ireland - Advantaged
883845,MCS,mcs_longitudinal_family_file,pttype2,Stratum within Country,9.0,Northern Ireland - Disadvantaged
883846,MCS,mcs_longitudinal_family_file,sptn00,Fieldwork point number incorporating superwards (updated),,
883847,MCS,mcs_longitudinal_family_file,nh2,Population Correction Factor (for use in Stata),,
883848,MCS,mcs_longitudinal_family_file,weight1,MCS Weight for use on single country analyses,,
