variable_name,value_value,value_label,avail_from_dt,table_name
SENTRY,-1,Not applicable,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
SENTRY,1,Sweep 1,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
SENTRY,2,Sweep 2,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
COUNTRY,-1,Not applicable,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
COUNTRY,1,England,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
COUNTRY,2,Wales,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
COUNTRY,3,Scotland,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
COUNTRY,4,NI,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTY00,-1,Not applicable,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTY00,1,Advantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTY00,2,Disadvantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTY00,3,Ethnic,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,-1,Not applicable,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,1,England - Advantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,2,England - Disadvantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,3,England - Ethnic,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,4,Wales - Advantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,5,Wales - Disadvantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,6,Scotland - Advantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,7,Scotland - Disadvantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,8,Northern Ireland - Advantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
PTTYPE2,9,Northern Ireland - Disadvantaged,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
AISSUED,-1,Not applicable,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
AISSUED,0,No,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
AISSUED,1,Yes,2022-01-03 09:01:04.373,mcs_longitudinal_family_file_v0001_20211101
