variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_COHORT,Cohort identifier,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,Month in 2021 of antibody test,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_COVN_RESULT,N assay: result classification based on reference ranges at the time of testing,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_COVS_VALUE,S assay: numeric result of the test (U/mL),2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_COVS_RESULT,S assay: result classification,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_COV_RESULT,Derived antibody test result,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_SURDATM,Month in 2021 consent web survey completed,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_BEENVAC,Been vaccinated for COVID-19 at time of web consent survey,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_NUMJAB,Number of jabs received at time of consent web survey,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_VACTYP,Type of vaccine received,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_VACDAT1,Date of first vaccine (Month Grouped),2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_VACDAT2,Date of second vaccine (Month Grouped),2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_VACFLAG,Respondent entered vaccine date later than survey date,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_VVTIMED,(Derived) Number of days between first vaccine and second vaccine,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_V1PTIMED,(Derived) Number of days between first vaccine and processing of serology sample in the lab,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
CS_V2PTIMED,(Derived) Number of days between second vaccine and processing of serology sample in the lab,2022-01-08 14:10:51.463,Covid_19_Serology_v0001_20211101
