,Source,Block Name,Variable Name,Variable Description,Value,Value Description
883969,NCDS58,basic_demographic,study_id_e,,,
883970,NCDS58,basic_demographic,ethnic,CMs ethnic group,1.0,British
883971,NCDS58,basic_demographic,ethnic,CMs ethnic group,2.0,Irish
883972,NCDS58,basic_demographic,ethnic,CMs ethnic group,3.0,White other
883973,NCDS58,basic_demographic,ethnic,CMs ethnic group,4.0,White & Black Caribbean
883974,NCDS58,basic_demographic,ethnic,CMs ethnic group,5.0,White & Black African
883975,NCDS58,basic_demographic,ethnic,CMs ethnic group,6.0,White & Asian
883976,NCDS58,basic_demographic,ethnic,CMs ethnic group,7.0,Other mixed race
883977,NCDS58,basic_demographic,ethnic,CMs ethnic group,8.0,Indian
883978,NCDS58,basic_demographic,ethnic,CMs ethnic group,9.0,Pakistani
883979,NCDS58,basic_demographic,ethnic,CMs ethnic group,10.0,Bangladeshi
883980,NCDS58,basic_demographic,ethnic,CMs ethnic group,11.0,Other Asian
883981,NCDS58,basic_demographic,ethnic,CMs ethnic group,12.0,Caribbean
883982,NCDS58,basic_demographic,ethnic,CMs ethnic group,13.0,African
883983,NCDS58,basic_demographic,ethnic,CMs ethnic group,14.0,Other Black
883984,NCDS58,basic_demographic,ethnic,CMs ethnic group,15.0,Chinese
883985,NCDS58,basic_demographic,ethnic,CMs ethnic group,16.0,Other ethnic group
883986,NCDS58,basic_demographic,ethnic,CMs ethnic group,98.0,=Dont know
883987,NCDS58,basic_demographic,ethnic,CMs ethnic group,99.0,=Not answered
883988,NCDS58,basic_demographic,n1685,2PD Social class father,-1.0,"NA,unclear"
883989,NCDS58,basic_demographic,n1685,2PD Social class father,1.0,Non manual
883990,NCDS58,basic_demographic,n1685,2PD Social class father,2.0,Manual
883991,NCDS58,basic_demographic,n1685,2PD Social class father,3.0,No male head
883992,NCDS58,basic_demographic,n9netp2,Net pay: period,-9.0,Refused
883993,NCDS58,basic_demographic,n9netp2,Net pay: period,-8.0,Don't know
883994,NCDS58,basic_demographic,n9netp2,Net pay: period,-1.0,Not applicable
883995,NCDS58,basic_demographic,n9netp2,Net pay: period,1.0,One week
883996,NCDS58,basic_demographic,n9netp2,Net pay: period,2.0,Calendar month
883997,NCDS58,basic_demographic,n9netp2,Net pay: period,3.0,One Year
883998,NCDS58,basic_demographic,n9netp2,Net pay: period,4.0,Other period
883999,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),-9.0,Refused/ other missing
884000,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),-8.0,Not enough info to code
884001,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),-1.0,Not applicable
884002,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),1.0,(I) Professional
884003,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),2.0,(II) Managerial-technical
884004,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),3.1,(IIINM) Skilled non-manual
884005,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),3.2,(IIIM) Skilled manual
884006,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),4.0,(IV) Partly skilled
884007,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),5.0,(V) Unskilled
884008,NCDS58,basic_demographic,n9csc,Social class 1990  based on soc2010 (CM current job),6.0,Others
884009,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),-1.0,"NA,NMH"
884010,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),1.0,"Unemployed,sick"
884011,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),2.0,I
884012,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),3.0,II
884013,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),4.0,III non-manual
884014,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),5.0,III manual
884015,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),6.0,IV
884016,NCDS58,basic_demographic,n236,0P Social class of mother's husband (GRO 1951),7.0,V
884017,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,-9.0,Refused
884018,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,-8.0,Not enough info (feed forward issue)
884019,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,-1.0,Not applicable
884020,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,0.0,YES but error FFTENURE=1(Owned outright)
884021,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,1.0,Own - outright
884022,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,2.0,Own - buying with help of mortgage/loan
884023,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,3.0,Part rent/part mortgage-shared/equity
884024,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,4.0,Rent it
884025,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,5.0,Rent-free inc rels/friend excl squattng
884026,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,6.0,Squatting
884027,NCDS58,basic_demographic,n9ten,Whether CM owns or rents home or some other arrangement,7.0,Other
884028,NCDS58,basic_demographic,nd9hsize,(Derived) Number of persons in CM's household,,
884029,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,-9.0,Refused
884030,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,-8.0,Not enough information
884031,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,-1.0,Not applicable
884032,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,1.0,Full-time employment
884033,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,2.0,Part-time employment
884034,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,3.0,Full-time self-employment
884035,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,4.0,Part-time self-employment
884036,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,5.0,Unemployment
884037,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,6.0,Full-time education
884038,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,7.0,Govt scheme for employment training
884039,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,8.0,Temporary sickness/disablity
884040,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,9.0,Permanent sickness/disablity
884041,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,10.0,Looking after the home/family
884042,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,11.0,Retirement
884043,NCDS58,basic_demographic,nd9ecact,(Derived) Current economic activity status,12.0,Other
884044,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,-9.0,Refused
884045,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,-8.0,No partner in hhgrid but partner job data
884046,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,-1.0,No partner reported to be living with CM
884047,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,1.0,Spouse
884048,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,2.0,Civil partner
884049,NCDS58,basic_demographic,nd9partp,(Derived) Whether CM lives with a spouse or partner,3.0,Cohabiting partner
884050,NCDS58,basic_demographic,nd9hnvq,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),-8.0,Not enough information
884051,NCDS58,basic_demographic,nd9hnvq,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),-1.0,not applicable
884052,NCDS58,basic_demographic,nd9hnvq,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),0.0,none
884053,NCDS58,basic_demographic,nd9hnvq,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),1.0,nvq1 level
884054,NCDS58,basic_demographic,nd9hnvq,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),2.0,nvq2 level
