variable_name,value_value,value_label,avail_from_dt,table_name
n4625,2,February,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,3,March,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,4,April,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,5,May,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,6,June,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,7,July,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,9,September,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,10,October,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,11,November,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,12,December,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4625,98,Dont know / Cant remember,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,74,1974,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,75,1975,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,76,1976,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,77,1977,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,78,1978,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,79,1979,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,80,1980,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,81,1981,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4627,98,Dont know / Cant remember,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,1,January,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,2,February,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,3,March,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,4,April,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,5,May,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,6,June,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,7,July,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
n4629,8,August,2022-01-08 11:54:46.490,ncds4_v0001_1_20211101
