,Source,Block Name,Variable Name,Variable Description,Value,Value Description
923496,NCDS58,ncds5_mother_child,study_id_e,,,
923497,NCDS58,ncds5_mother_child,person,Person Number (of child) in household,,
923498,NCDS58,ncds5_mother_child,resp5mth,Reponse to NCDS5 Mother Questionnaire,0.0,No Response
923499,NCDS58,ncds5_mother_child,resp5mth,Reponse to NCDS5 Mother Questionnaire,1.0,Responded
923500,NCDS58,ncds5_mother_child,resp5ych,Reponse to NCDS5 Your Child Questionnaire,0.0,No Response
923501,NCDS58,ncds5_mother_child,resp5ych,Reponse to NCDS5 Your Child Questionnaire,1.0,Responded
923502,NCDS58,ncds5_mother_child,resp5chd,Reponse to NCDS5 Child Questionnaire,0.0,No Response
923503,NCDS58,ncds5_mother_child,resp5chd,Reponse to NCDS5 Child Questionnaire,1.0,Responded
923504,NCDS58,ncds5_mother_child,resp5hev,Reponse to NCDS5 Home Environment Questionnaire,0.0,No Response
923505,NCDS58,ncds5_mother_child,resp5hev,Reponse to NCDS5 Home Environment Questionnaire,1.0,Responded
923506,NCDS58,ncds5_mother_child,n516220,MOTHER:1i) Child's Sex,0.0,Not recorded
923507,NCDS58,ncds5_mother_child,n516220,MOTHER:1i) Child's Sex,1.0,Male
923508,NCDS58,ncds5_mother_child,n516220,MOTHER:1i) Child's Sex,2.0,Female
923509,NCDS58,ncds5_mother_child,n516221,MOTHER:1iii) Child's Date of Birth - Day,,
923510,NCDS58,ncds5_mother_child,n516223,MOTHER:1iii) Child's Date of Birth - MONTH,,
923511,NCDS58,ncds5_mother_child,n516225,MOTHER:1iii Child's Date of Birth - YEAR,,
923512,NCDS58,ncds5_mother_child,n516227,MOTHER:1iv) Child's Current Age - YEARS,,
923513,NCDS58,ncds5_mother_child,n516229,MOTHER:1iv) Child's Current Age - MONTHS,,
923514,NCDS58,ncds5_mother_child,n516231,MOTHER:1v) Child's Relationship to Cohort Member,0.0,Not recorded
923515,NCDS58,ncds5_mother_child,n516231,MOTHER:1v) Child's Relationship to Cohort Member,1.0,Natural child
923516,NCDS58,ncds5_mother_child,n516231,MOTHER:1v) Child's Relationship to Cohort Member,2.0,Adopted child
923517,NCDS58,ncds5_mother_child,n516232,MOTHER:1vi) PPVT Age - YEARS,,
923518,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,0.0,Not applicable
923519,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,1.0,January
923520,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,2.0,February
923521,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,3.0,March
923522,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,4.0,April
923523,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,5.0,May
923524,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,6.0,June
923525,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,7.0,July
923526,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,8.0,August
923527,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,9.0,September
923528,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,10.0,October
923529,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,11.0,November
923530,NCDS58,ncds5_mother_child,n516234,MOTHER:1vi) PPVT Age - MONTHS,12.0,December
923531,NCDS58,ncds5_mother_child,n516236,MOTHER:1 TIME AT START - HOURS,,
923532,NCDS58,ncds5_mother_child,n516238,MOTHER:1 TIME AT START - MINUTES,,
923533,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,1.0,More than once a day
923534,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,2.0,Once a day
923535,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,3.0,Several times a week
923536,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,4.0,About once a week
923537,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,5.0,About once a month
923538,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,6.0,Never or hardly ever
923539,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,7.0,Varies
923540,NCDS58,ncds5_mother_child,n516013,MOTHER:2 Q1 Family eat together,8.0,Can't say
923541,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,0.0,Too young
923542,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,1.0,Once a week or more
923543,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,2.0,2 or 3 times a month
923544,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,3.0,About once a month
923545,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,4.0,2 or 3 times a year
923546,NCDS58,ncds5_mother_child,n516014,MOTHER:2 Q2a Family spend evening together,5.0,About once a year
