variable_name,value_value,value_label,avail_from_dt,table_name
n522026,9,Code out of range,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n522027,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n522027,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n522027,3,Not observed,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n522027,9,Code out of range,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521824,4,Varied,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521825,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521825,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,4,Task not understood,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,5,Language problem,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,6,Emotional condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,7,Physical condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521826,8,Other,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521828,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521828,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521828,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521860,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,4,Task not understood,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,5,Language problem,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,6,Emotional condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,7,Physical condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521861,8,Other,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,4,Task not understood,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,5,Language problem,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,6,Emotional condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,7,Physical condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521863,8,Other,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,4,Task not understood,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,5,Language problem,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,6,Emotional condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n521865,7,Physical condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520756,2,Wrong,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520757,1,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520757,2,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520757,3,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520757,4,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520757,8,Code out of range,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520758,1,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520758,2,Wrong,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520759,1,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520759,2,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520759,3,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520759,4,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520760,1,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520760,2,Wrong,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520761,1,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520761,2,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520761,3,Incorrect,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520761,4,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520762,1,Correct,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520762,2,Wrong,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520813,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520813,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520814,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520814,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520815,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520815,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520817,1,Seemed to be harmful,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520817,2,None observable,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520817,3,Seemed to improve,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520819,1,Seemed to be harmful,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520819,2,None observable,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520819,3,Seemed to improve,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520822,1,Seemed to be harmful,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520822,2,None observable,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520822,3,Seemed to improve,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520825,1,Seemed to be harmful,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520825,2,None observable,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520825,3,Seemed to improve,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520826,1,Low (tired),2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520826,2,Medium,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520826,3,High,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520826,4,Varied,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520827,1,Yes,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520827,2,No,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,1,Parent refused,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,2,Child didn't respond,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,3,Major interruption,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,4,Task not understood,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,5,Language problem,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
n520828,6,Emotional condition,2022-01-08 11:47:39.953,ncds5_mother_child_v0001_2_20211101
