,Source,Block Name,Variable Name,Variable Description,Value,Value Description
926763,NCDS58,ncds5_partner,study_id_e,,,
926764,NCDS58,ncds5_partner,person,PERSON NUMBER,,
926765,NCDS58,ncds5_partner,n513013,PL:4,1.0,Yes
926766,NCDS58,ncds5_partner,n513013,PL:4,2.0,No
926767,NCDS58,ncds5_partner,n513014,PL:4,1.0,Yes
926768,NCDS58,ncds5_partner,n513014,PL:4,2.0,No
926769,NCDS58,ncds5_partner,n513015,PL:4,1.0,Single-never married
926770,NCDS58,ncds5_partner,n513015,PL:4,2.0,Married-1st marriage
926771,NCDS58,ncds5_partner,n513015,PL:4,3.0,Re-married
926772,NCDS58,ncds5_partner,n513015,PL:4,4.0,Separated
926773,NCDS58,ncds5_partner,n513015,PL:4,5.0,Divorced
926774,NCDS58,ncds5_partner,n513015,PL:4,6.0,Widowed
926775,NCDS58,ncds5_partner,n513016,PL:5,0.0,Not applicable
926776,NCDS58,ncds5_partner,n513016,PL:5,1.0,January
926777,NCDS58,ncds5_partner,n513016,PL:5,2.0,February
926778,NCDS58,ncds5_partner,n513016,PL:5,3.0,March
926779,NCDS58,ncds5_partner,n513016,PL:5,4.0,April
926780,NCDS58,ncds5_partner,n513016,PL:5,5.0,May
926781,NCDS58,ncds5_partner,n513016,PL:5,6.0,June
926782,NCDS58,ncds5_partner,n513016,PL:5,7.0,July
926783,NCDS58,ncds5_partner,n513016,PL:5,8.0,August
926784,NCDS58,ncds5_partner,n513016,PL:5,9.0,September
926785,NCDS58,ncds5_partner,n513016,PL:5,10.0,October
926786,NCDS58,ncds5_partner,n513016,PL:5,11.0,November
926787,NCDS58,ncds5_partner,n513016,PL:5,12.0,December
926788,NCDS58,ncds5_partner,n513018,PL:5,,
926789,NCDS58,ncds5_partner,n513020,PL:5,1.0,Married
926790,NCDS58,ncds5_partner,n513020,PL:5,2.0,Living as a couple
926791,NCDS58,ncds5_partner,n513021,PL:5,1.0,Yes
926792,NCDS58,ncds5_partner,n513021,PL:5,2.0,No
926793,NCDS58,ncds5_partner,n513022,PL:5,0.0,Not applicable
926794,NCDS58,ncds5_partner,n513022,PL:5,1.0,January
926795,NCDS58,ncds5_partner,n513022,PL:5,2.0,February
926796,NCDS58,ncds5_partner,n513022,PL:5,3.0,March
926797,NCDS58,ncds5_partner,n513022,PL:5,4.0,April
926798,NCDS58,ncds5_partner,n513022,PL:5,5.0,May
926799,NCDS58,ncds5_partner,n513022,PL:5,6.0,June
926800,NCDS58,ncds5_partner,n513022,PL:5,7.0,July
926801,NCDS58,ncds5_partner,n513022,PL:5,8.0,August
926802,NCDS58,ncds5_partner,n513022,PL:5,9.0,September
926803,NCDS58,ncds5_partner,n513022,PL:5,10.0,October
926804,NCDS58,ncds5_partner,n513022,PL:5,11.0,November
926805,NCDS58,ncds5_partner,n513022,PL:5,12.0,December
926806,NCDS58,ncds5_partner,n513024,PL:5,,
926807,NCDS58,ncds5_partner,n513026,PL:5,,
926808,NCDS58,ncds5_partner,n513028,PL:5,1.0,Male
926809,NCDS58,ncds5_partner,n513028,PL:5,2.0,Female
926810,NCDS58,ncds5_partner,n513029,PL:5,1.0,Single
926811,NCDS58,ncds5_partner,n513029,PL:5,2.0,Legally married
926812,NCDS58,ncds5_partner,n513029,PL:5,3.0,Legally separated
926813,NCDS58,ncds5_partner,n513029,PL:5,4.0,Divorced
926814,NCDS58,ncds5_partner,n513029,PL:5,5.0,Widowed
926815,NCDS58,ncds5_partner,n513030,PL:5,1.0,Yes
926816,NCDS58,ncds5_partner,n513030,PL:5,2.0,No
926817,NCDS58,ncds5_partner,n513031,PL:5,0.0,Not applicable
926818,NCDS58,ncds5_partner,n513031,PL:5,1.0,January
926819,NCDS58,ncds5_partner,n513031,PL:5,2.0,February
926820,NCDS58,ncds5_partner,n513031,PL:5,3.0,March
926821,NCDS58,ncds5_partner,n513031,PL:5,4.0,April
926822,NCDS58,ncds5_partner,n513031,PL:5,5.0,May
926823,NCDS58,ncds5_partner,n513031,PL:5,6.0,June
926824,NCDS58,ncds5_partner,n513031,PL:5,7.0,July
926825,NCDS58,ncds5_partner,n513031,PL:5,8.0,August
926826,NCDS58,ncds5_partner,n513031,PL:5,9.0,September
926827,NCDS58,ncds5_partner,n513031,PL:5,10.0,October
926828,NCDS58,ncds5_partner,n513031,PL:5,11.0,November
926829,NCDS58,ncds5_partner,n513031,PL:5,12.0,December
926830,NCDS58,ncds5_partner,n513033,PL:5,,
926831,NCDS58,ncds5_partner,n513035,PL:5,0.0,Not applicable
926832,NCDS58,ncds5_partner,n513035,PL:5,1.0,January
926833,NCDS58,ncds5_partner,n513035,PL:5,2.0,February
926834,NCDS58,ncds5_partner,n513035,PL:5,3.0,March
926835,NCDS58,ncds5_partner,n513035,PL:5,4.0,April
926836,NCDS58,ncds5_partner,n513035,PL:5,5.0,May
926837,NCDS58,ncds5_partner,n513035,PL:5,6.0,June
926838,NCDS58,ncds5_partner,n513035,PL:5,7.0,July
926839,NCDS58,ncds5_partner,n513035,PL:5,8.0,August
926840,NCDS58,ncds5_partner,n513035,PL:5,9.0,September
926841,NCDS58,ncds5_partner,n513035,PL:5,10.0,October
926842,NCDS58,ncds5_partner,n513035,PL:5,11.0,November
926843,NCDS58,ncds5_partner,n513035,PL:5,12.0,December
926844,NCDS58,ncds5_partner,n513037,PL:5,,
926845,NCDS58,ncds5_partner,n513039,PL:5,1.0,Married
926846,NCDS58,ncds5_partner,n513039,PL:5,2.0,Living as a couple
926847,NCDS58,ncds5_partner,n513040,PL:5,1.0,Yes
926848,NCDS58,ncds5_partner,n513040,PL:5,2.0,No
926849,NCDS58,ncds5_partner,n513041,PL:5,0.0,Not applicable
926850,NCDS58,ncds5_partner,n513041,PL:5,1.0,January
926851,NCDS58,ncds5_partner,n513041,PL:5,2.0,February
926852,NCDS58,ncds5_partner,n513041,PL:5,3.0,March
926853,NCDS58,ncds5_partner,n513041,PL:5,4.0,April
926854,NCDS58,ncds5_partner,n513041,PL:5,5.0,May
926855,NCDS58,ncds5_partner,n513041,PL:5,6.0,June
926856,NCDS58,ncds5_partner,n513041,PL:5,7.0,July
926857,NCDS58,ncds5_partner,n513041,PL:5,8.0,August
926858,NCDS58,ncds5_partner,n513041,PL:5,9.0,September
926859,NCDS58,ncds5_partner,n513041,PL:5,10.0,October
926860,NCDS58,ncds5_partner,n513041,PL:5,11.0,November
926861,NCDS58,ncds5_partner,n513041,PL:5,12.0,December
926862,NCDS58,ncds5_partner,n513043,PL:5,,
926863,NCDS58,ncds5_partner,n513045,PL:5,,
926864,NCDS58,ncds5_partner,n513047,PL:5,1.0,Male
926865,NCDS58,ncds5_partner,n513047,PL:5,2.0,Female
926866,NCDS58,ncds5_partner,n513048,PL:5,1.0,Single
926867,NCDS58,ncds5_partner,n513048,PL:5,2.0,Legally married
926868,NCDS58,ncds5_partner,n513048,PL:5,3.0,Legally separated
926869,NCDS58,ncds5_partner,n513048,PL:5,4.0,Divorced
926870,NCDS58,ncds5_partner,n513048,PL:5,5.0,Widowed
926871,NCDS58,ncds5_partner,n513049,PL:5,1.0,Yes
926872,NCDS58,ncds5_partner,n513049,PL:5,2.0,No
926873,NCDS58,ncds5_partner,n513050,PL:5,0.0,Not applicable
926874,NCDS58,ncds5_partner,n513050,PL:5,1.0,January
926875,NCDS58,ncds5_partner,n513050,PL:5,2.0,February
926876,NCDS58,ncds5_partner,n513050,PL:5,3.0,March
926877,NCDS58,ncds5_partner,n513050,PL:5,4.0,April
926878,NCDS58,ncds5_partner,n513050,PL:5,5.0,May
926879,NCDS58,ncds5_partner,n513050,PL:5,6.0,June
926880,NCDS58,ncds5_partner,n513050,PL:5,7.0,July
926881,NCDS58,ncds5_partner,n513050,PL:5,8.0,August
926882,NCDS58,ncds5_partner,n513050,PL:5,9.0,September
926883,NCDS58,ncds5_partner,n513050,PL:5,10.0,October
926884,NCDS58,ncds5_partner,n513050,PL:5,11.0,November
926885,NCDS58,ncds5_partner,n513050,PL:5,12.0,December
926886,NCDS58,ncds5_partner,n513052,PL:5,,
926887,NCDS58,ncds5_partner,n513116,PL:5,1.0,January
926888,NCDS58,ncds5_partner,n513116,PL:5,2.0,February
926889,NCDS58,ncds5_partner,n513116,PL:5,3.0,March
926890,NCDS58,ncds5_partner,n513116,PL:5,4.0,April
926891,NCDS58,ncds5_partner,n513116,PL:5,5.0,May
926892,NCDS58,ncds5_partner,n513116,PL:5,6.0,June
926893,NCDS58,ncds5_partner,n513116,PL:5,7.0,July
926894,NCDS58,ncds5_partner,n513116,PL:5,8.0,August
926895,NCDS58,ncds5_partner,n513116,PL:5,9.0,September
926896,NCDS58,ncds5_partner,n513116,PL:5,10.0,October
926897,NCDS58,ncds5_partner,n513116,PL:5,11.0,November
926898,NCDS58,ncds5_partner,n513116,PL:5,12.0,December
926899,NCDS58,ncds5_partner,n513118,PL:5,,
926900,NCDS58,ncds5_partner,n513120,PL:5,1.0,Married
926901,NCDS58,ncds5_partner,n513120,PL:5,2.0,Living as a couple
926902,NCDS58,ncds5_partner,n513121,PL:5,1.0,Yes
926903,NCDS58,ncds5_partner,n513121,PL:5,2.0,No
926904,NCDS58,ncds5_partner,n513122,PL:5,1.0,January
926905,NCDS58,ncds5_partner,n513122,PL:5,2.0,February
926906,NCDS58,ncds5_partner,n513122,PL:5,3.0,March
926907,NCDS58,ncds5_partner,n513122,PL:5,4.0,April
926908,NCDS58,ncds5_partner,n513122,PL:5,5.0,May
926909,NCDS58,ncds5_partner,n513122,PL:5,6.0,June
926910,NCDS58,ncds5_partner,n513122,PL:5,7.0,July
926911,NCDS58,ncds5_partner,n513122,PL:5,8.0,August
926912,NCDS58,ncds5_partner,n513122,PL:5,9.0,September
926913,NCDS58,ncds5_partner,n513122,PL:5,10.0,October
926914,NCDS58,ncds5_partner,n513122,PL:5,11.0,November
926915,NCDS58,ncds5_partner,n513122,PL:5,12.0,December
926916,NCDS58,ncds5_partner,n513124,PL:5,72.0,1972
