variable_name,variable_label,avail_from_dt,table_name
n551069,PLOPEN:7e)/f) JOB 11: Socio-Economic Group 1966,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551071,PLOPEN:7e)/f) JOB 11: RGs Social Class 1966,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551073,PLOPEN:7e)/f) JOB 11: RGs 1961 - Occupation Unit Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551076,PLOPEN:7e)/f) JOB 11: Socio-Economic Group 1961,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551078,PLOPEN:7e)/f) JOB 11: RGs Social Class 1961,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551080,PLOPEN:7e)/f) JOB 11: Goldthorpe SocialClass 1990,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551082,PLOPEN:7e)/f) JOB 11: Goldthorpe SocialClass 1980,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551084,PLOPEN:7e)/f) JOB 11: Goldthorpe SocialClass 1970,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551085,PLOPEN:7e)/f) JOB 11: Hope-Goldthorpe Collapsed Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551087,PLOPEN:7e)/f) JOB 11: Hope-Goldthorpe Scale Score,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551114,PLOPEN:7e)/f) JOB 12: SOC-Standard Occupational Classifcn,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551117,PLOPEN:7e)/f) JOB 12: Cambridge Sub-Group & Title Ident.,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551120,PLOPEN:7e)/f) JOB  12: Employment Status- input code,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551121,PLOPEN:7e)/f) JOB  12: Employment Status - check code,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551122,PLOPEN:7e)/f) JOB 12: Cambridge Scale Score - Males,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551126,PLOPEN:7e)/f) JOB 12: Cambridge Scale Score - Females,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551130,PLOPEN:7e)/f) JOB 12: Socio-Economic Group '91 based on SOC,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551133,PLOPEN:7e)/f) JOB 12: RGs Social Class '91 based on SOC,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551135,PLOPEN:7e)/f) JOB 12: ISCO '88-Int StanClass of Occupns,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551139,PLOPEN:7e)/f) JOB 12: KOS - Key Occupnsfor Stats,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551142,PLOPEN:7e)/f) JOB 12: CODOT - 3 digit classification,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551145,PLOPEN:7e)/f) JOB 12: OPCS 1980 - Operational Code,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551148,PLOPEN:7e)/f) JOB 12: OPCS 1980 - Occupation Unit Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551153,PLOPEN:7e)/f) JOB 12: Socio-Economic Group 1981,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551156,PLOPEN:7e)/f) JOB 12: RGs Social Class 1981,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551158,PLOPEN:7e)/f) JOB 12: OPCS 1970 - Occupation Unit Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551161,PLOPEN:7e)/f) JOB 12: Socio-Economic Group 1971,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551164,PLOPEN:7e)/f) JOB 12: RGs Social Class 1971,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551166,PLOPEN:7e)/f) JOB 12: RGs 1966 - Occupation Unit Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551169,PLOPEN:7e)/f) JOB 12: Socio-Economic Group 1966,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551171,PLOPEN:7e)/f) JOB 12: RGs Social Class 1966,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551173,PLOPEN:7e)/f) JOB 12: RGs 1961 - Occupation Unit Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551176,PLOPEN:7e)/f) JOB 12: Socio-Economic Group 1961,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551178,PLOPEN:7e)/f) JOB 12: RGs Social Class 1961,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551180,PLOPEN:7e)/f) JOB 12: Goldthorpe SocialClass 1990,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551182,PLOPEN:7e)/f) JOB 12: Goldthorpe SocialClass 1980,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551184,PLOPEN:7e)/f) JOB 12: Goldthorpe SocialClass 1970,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551185,PLOPEN:7e)/f) JOB 12: Hope-Goldthorpe Collapsed Group,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
n551187,PLOPEN:7e)/f) JOB 12: Hope-Goldthorpe Scale Score,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
V3,None,2022-01-08 12:16:21.747,ncds5_partner_v0001_2_20211101
