variable_name,value_value,value_label,avail_from_dt,table_name
n514447,80,1980,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,82,1982,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,84,1984,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,85,1985,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,86,1986,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,87,1987,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,88,1988,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,89,1989,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,90,1990,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514447,91,1991,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514449,1,Uneployed,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514449,2,Govt scheme,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514449,3,Full-time education,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514449,4,Housework/childcare,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,0,Not applicable,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,1,January,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,2,February,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,3,March,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,4,April,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,5,May,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,6,June,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,7,July,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,8,August,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,9,September,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,10,October,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,11,November,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514514,12,December,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,46,Code out of range,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,76,1976,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,80,1980,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,83,1983,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,84,1984,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,85,1985,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,86,1986,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,87,1987,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,88,1988,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,89,1989,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,90,1990,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514516,91,1991,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,0,Still going on,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,1,January,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,2,February,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,3,March,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,4,April,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,5,May,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,6,June,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,7,July,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,8,August,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,9,September,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,10,October,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514518,12,December,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514520,0,Still going on,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514520,76,1976,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
n514520,81,1981,2022-01-08 11:58:18.753,ncds5_partner_v0001_20211101
