,Source,Block Name,Variable Name,Variable Description,Value,Value Description
953937,NCDS58,ncds6,study_id_e,,,
953938,NCDS58,ncds6,n6region,Standard region at NCDS6,1.0,North
953939,NCDS58,ncds6,n6region,Standard region at NCDS6,2.0,Yorkshire & Humberside
953940,NCDS58,ncds6,n6region,Standard region at NCDS6,3.0,East Midlands
953941,NCDS58,ncds6,n6region,Standard region at NCDS6,4.0,East Anglia
953942,NCDS58,ncds6,n6region,Standard region at NCDS6,5.0,South East
953943,NCDS58,ncds6,n6region,Standard region at NCDS6,6.0,South West
953944,NCDS58,ncds6,n6region,Standard region at NCDS6,7.0,West Midlands
953945,NCDS58,ncds6,n6region,Standard region at NCDS6,8.0,North West
953946,NCDS58,ncds6,n6region,Standard region at NCDS6,9.0,Wales
953947,NCDS58,ncds6,n6region,Standard region at NCDS6,10.0,Scotland
953948,NCDS58,ncds6,n6region,Standard region at NCDS6,11.0,IoM/Channel Isles
953949,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,1.0,North East
953950,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,2.0,North West
953951,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,3.0,Yorkshire and the Humber
953952,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,4.0,East Midlands
953953,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,5.0,West Midlands
953954,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,6.0,East of England
953955,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,7.0,London
953956,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,8.0,South East
953957,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,9.0,South West
953958,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,10.0,Wales
953959,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,11.0,Scotland
953960,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,12.0,Not recorded'
953961,NCDS58,ncds6,n6gor,NCDS6 Government Office Region,13.0,Not app in IoM Ch Is
953962,NCDS58,ncds6,n622_6,Sex of Cohort Member,-1.0,Not known
953963,NCDS58,ncds6,n622_6,Sex of Cohort Member,1.0,Male
953964,NCDS58,ncds6,n622_6,Sex of Cohort Member,2.0,Female
953965,NCDS58,ncds6,wave,Wave number,,
953966,NCDS58,ncds6,eddonev,Edit Confirmation,1.0,Yes
953967,NCDS58,ncds6,eddonev,Edit Confirmation,2.0,No
953968,NCDS58,ncds6,version,Program Version,,
953969,NCDS58,ncds6,intdate,Date of interview,,
953970,NCDS58,ncds6,dateok,Lap Top Date Confirmation,1.0,Yes
953971,NCDS58,ncds6,dateok,Lap Top Date Confirmation,2.0,No
953972,NCDS58,ncds6,cmname,CM Name correct on ARF?,1.0,CMs name correct
953973,NCDS58,ncds6,cmname,CM Name correct on ARF?,2.0,CMs name incorrect
953974,NCDS58,ncds6,hhsize,Total Number of people in hhld (Derived),,
953975,NCDS58,ncds6,dmsppart,Whether CM has current partner in hhld,1.0,Yes
953976,NCDS58,ncds6,dmsppart,Whether CM has current partner in hhld,2.0,No
953977,NCDS58,ncds6,dmsex,CM sex (from sample file),1.0,Male
953978,NCDS58,ncds6,dmsex,CM sex (from sample file),2.0,Female
953979,NCDS58,ncds6,dmbl,If CM blind (from sample file),1.0,Yes
953980,NCDS58,ncds6,dmbl,If CM blind (from sample file),2.0,No
953981,NCDS58,ncds6,dmps,IF CM partially sighted (from sample file),1.0,Yes
953982,NCDS58,ncds6,dmps,IF CM partially sighted (from sample file),2.0,No
953983,NCDS58,ncds6,dmdf,If CM deaf (from sample file)',1.0,Yes
953984,NCDS58,ncds6,dmdf,If CM deaf (from sample file)',2.0,No
953985,NCDS58,ncds6,dmhr,If CM partially sighted (from sample file),1.0,Yes
953986,NCDS58,ncds6,dmhr,If CM partially sighted (from sample file),2.0,No
953987,NCDS58,ncds6,dmln,If CM learning difficulty (from sample file),1.0,Yes
953988,NCDS58,ncds6,dmln,If CM learning difficulty (from sample file),2.0,No
953989,NCDS58,ncds6,dmph,If CM physically disabled (from sample file),1.0,Yes
953990,NCDS58,ncds6,dmph,If CM physically disabled (from sample file),2.0,No
