variable_name,variable_label,avail_from_dt,table_name
n7eqa032,(Qual) A/S Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh032,Year when A/S Level qualification at Grades A-C awarded - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp032,A/S Level at Grades A-C done full-time or part-time - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa033,(Qual) A/S Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh033,Year when A/S Level qualification at Grades A-C awarded - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp033,A/S Level at Grades A-C done full-time or part-time - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa034,(Qual) A/S Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh034,Year when A/S Level qualification at Grades A-C awarded - 04,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp034,A/S Level at Grades A-C done full-time or part-time - 04,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa035,(Qual) A/S Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh035,Year when A/S Level qualification at Grades A-C awarded - 05,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp035,A/S Level at Grades A-C done full-time or part-time - 05,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7numas2,Number of A/S Levels at Grades D-E,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa046,(Qual) A/S Level subject at Grades D-E,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh046,Year when A/S Level qualification at Grades D-E awarded - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp046,A/S Level at Grades D-E done full-time or part-time - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7aslG,(Derived) NCDS 2004 Survey: Highest grade AS LEVEL CM obtained,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7numga1,Number of GCE A-Level / S-Level at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa061,(Qual) GCE A-Level / S-Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh061,Year when GCE A-Level / S-Level qualification at Grades A-C awarded - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp061,GCE A-Level / S-Level at Grades A-C done full-time or part-time - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa062,(Qual) GCE A-Level / S-Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh062,Year when GCE A-Level / S-Level qualification at Grades A-C awarded - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp062,GCE A-Level / S-Level at Grades A-C done full-time or part-time - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7eqa063,(Qual) GCE A-Level / S-Level subject at Grades A-C,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7lsge6,Age when long-standing illness started - 06,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more16,Any other long-standing illness,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xlsa7,(ICD-10) Type of long-standing illness,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7lsge7,Age when long-standing illness started - 07,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more17,Any other long-standing illness,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xlsa8,(ICD-10) Type of long-standing illness,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7lsge8,Age when long-standing illness started - 08,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more18,Any other long-standing illness,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khpb1,Whether any other health problems in last 12 months - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7hldr,Whether receives medical supervision for this problem - 01,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpa,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpb,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpc,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpd,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpe,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more21,Whether any other health problems in last 12 months - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7hldr2,Whether receives medical supervision for this problem - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpa2,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpb2,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpc2,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more22,Whether any other health problems in last 12 months - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7hldr3,Whether receives medical supervision for this problem - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpa3,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more23,Whether any other health problems in last 12 months - 04,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7hldr4,Whether receives medical supervision for this problem - 04,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpa4,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more24,Whether any other health problems in last 12 months - 05,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7hldr5,Whether receives medical supervision for this problem - 05,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7xhpa5,(ICD-10) Other health problem in the last 12 months,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7more25,Whether any other health problems in last 12 months - 06,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khldsl,Whether registered disabled,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khllt,Whether health limits everyday activities,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7hllt1,(Derived) Health limits daily activities - doing housework,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7hllt2,(Derived) Health limits daily activities - climbing stairs,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7hllt3,(Derived) Health limits daily activities - dressing yourself,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7hllt4,(Derived) Health limits daily activities - walking for at least 10 minutes,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khlltw,Whether health limits type or amount of work,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khlenw,Whether health keeps Cohort Member from doing some types of work,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khllta,Extent to which health limits amount of work,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7knxdts,Number of accidents leading to seeing a doctor / going to hospital,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7khospd,Number of days spent  in a hospital or clinic as a day patient or in-patient,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7sddn,(Derived) Completed smoking and drinking questions,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7smoke,(Derived) Smoking habits,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7smokig,Smoking frequency,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7nfcigs,Smoking frequency per day,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7exsmer,Whether has ever been a regular smoker,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7agequt,Age when last was a regular smoker,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7drinks,Frequency of drinking alcohol,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7units1,Number of units of drinks in an average week,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7breals,Frequency of exercising,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7sweat,Frequency of getting out of breath when exercising,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
nd7cgdn,(Derived) Completed involvement in clubs and groups questions,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh167,Year when nursing / paramedical qualification awarded - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp167,Nursing / paramedical qualification done full-time or part-time - 02,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh168,Year when nursing / paramedical qualification awarded - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7efp168,Nursing / paramedical qualification done full-time or part-time - 03,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
n7ewh169,Year when nursing / paramedical qualification awarded - 04,2022-01-08 13:16:59.753,ncds7_v0001_2_20211101
