,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1042102,NCDS58,ncds9_derived,study_id_e,,,
1042103,NCDS58,ncds9_derived,nd9cntry,Country of Interview  (2013),-1.0,Not applicable (not resident in GB)
1042104,NCDS58,ncds9_derived,nd9cntry,Country of Interview  (2013),1.0,England
1042105,NCDS58,ncds9_derived,nd9cntry,Country of Interview  (2013),2.0,Wales
1042106,NCDS58,ncds9_derived,nd9cntry,Country of Interview  (2013),3.0,Scotland
1042107,NCDS58,ncds9_derived,nd9cntry,Country of Interview  (2013),4.0,Northern Ireland
1042108,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),-1.0,Not applicable (not resident in GB)
1042109,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),1.0,North East
1042110,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),2.0,North West
1042111,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),3.0,Yorkshire and Humberberside
1042112,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),4.0,East Midlands
1042113,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),5.0,West Midlands
1042114,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),6.0,East of England
1042115,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),7.0,London
1042116,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),8.0,South East
1042117,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),9.0,South West
1042118,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),10.0,Wales
1042119,NCDS58,ncds9_derived,nd9gor,Government Office Region of residence (2013),11.0,Scotland
1042120,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),-2.0,Not resident in GB
1042121,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),1.0,North
1042122,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),2.0,Yorks and Humberside
1042123,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),3.0,East Midlands
1042124,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),4.0,East Anglia
1042125,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),5.0,South East
1042126,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),6.0,South West
1042127,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),7.0,West Midlands
1042128,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),8.0,North West
1042129,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),9.0,Wales
1042130,NCDS58,ncds9_derived,nd9regn,Standard Statistical Region (2013),10.0,Scotland
1042131,NCDS58,ncds9_derived,nd9hsize,(Derived) Number of persons in CM's household,,
1042132,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,-9.0,Refused
1042133,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,-8.0,Not enough info
1042134,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,-1.0,Not applicable
1042135,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,1.0,Legally separated
1042136,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,2.0,Married
1042137,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,3.0,Divorced
1042138,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,4.0,Widowed
1042139,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,5.0,A Civil Partner
1042140,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,6.0,A former Civil Partner
1042141,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,7.0,A surviving Civil Partner
1042142,NCDS58,ncds9_derived,nd9ms,(Derived) CM's legal marital status,8.0,Single and never married or in a CP
1042143,NCDS58,ncds9_derived,nd9cohab,(Derived) Whether CM cohabiting as a couple,-9.0,Refused
1042144,NCDS58,ncds9_derived,nd9cohab,(Derived) Whether CM cohabiting as a couple,-8.0,No partner in hhgrid but partner job data
1042145,NCDS58,ncds9_derived,nd9cohab,(Derived) Whether CM cohabiting as a couple,-1.0,Not applicable
1042146,NCDS58,ncds9_derived,nd9cohab,(Derived) Whether CM cohabiting as a couple,0.0,No
1042147,NCDS58,ncds9_derived,nd9cohab,(Derived) Whether CM cohabiting as a couple,1.0,Yes
1042148,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,-9.0,Refused
1042149,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,-8.0,No partner in hhgrid but partner job data
1042150,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,-1.0,No partner reported to be living with CM
1042151,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,1.0,Spouse
1042152,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,2.0,Civil partner
1042153,NCDS58,ncds9_derived,nd9partp,(Derived) Whether CM lives with a spouse or partner,3.0,Cohabiting partner
1042154,NCDS58,ncds9_derived,nd9page,(Derived) Age Of CM's Partner,-8.0,Not enough information
1042155,NCDS58,ncds9_derived,nd9page,(Derived) Age Of CM's Partner,-1.0,No partner reported to be living with CM
1042156,NCDS58,ncds9_derived,nd9pid,(Derived) HH Number Of CM's Partner/Spouse/Civil Partner,-8.0,Not enough information
1042157,NCDS58,ncds9_derived,nd9pid,(Derived) HH Number Of CM's Partner/Spouse/Civil Partner,-1.0,No partner reported to be living with CM
1042158,NCDS58,ncds9_derived,nd9psex,(Derived) Gender Of CM's Partner,-8.0,Not enough information
1042159,NCDS58,ncds9_derived,nd9psex,(Derived) Gender Of CM's Partner,-1.0,No partner reported to be living with CM
1042160,NCDS58,ncds9_derived,nd9psex,(Derived) Gender Of CM's Partner,1.0,Male
1042161,NCDS58,ncds9_derived,nd9psex,(Derived) Gender Of CM's Partner,2.0,Female
1042162,NCDS58,ncds9_derived,nd9fathn,(Derived) Whether CM's Father in HH (incl adoptive / step),-1.0,Not applicable
1042163,NCDS58,ncds9_derived,nd9fathn,(Derived) Whether CM's Father in HH (incl adoptive / step),0.0,No
1042164,NCDS58,ncds9_derived,nd9fathn,(Derived) Whether CM's Father in HH (incl adoptive / step),1.0,Yes
1042165,NCDS58,ncds9_derived,nd9mothn,(Derived) Whether CM's Mother in HH (incl adoptive / step),-1.0,Not applicable
1042166,NCDS58,ncds9_derived,nd9mothn,(Derived) Whether CM's Mother in HH (incl adoptive / step),0.0,No
1042167,NCDS58,ncds9_derived,nd9mothn,(Derived) Whether CM's Mother in HH (incl adoptive / step),1.0,Yes
1042168,NCDS58,ncds9_derived,nd9numch,(Derived) Number Of CM's children (incl step-children etc)in HH,,
1042169,NCDS58,ncds9_derived,nd9nmgch,(Derived) Num CM's grandchildren in HH(N.B.Oth child DVs don't incl gchildren),,
1042170,NCDS58,ncds9_derived,nd9nochh,(Derived) Number of CM's own children in household,,
1042171,NCDS58,ncds9_derived,nd9npchh,(Derived) Number of children of current or previous partner in hhousehold,,
1042172,NCDS58,ncds9_derived,nd9aychh,(Derived) Age of youngest CM's child (<19,-8.0,Not enough information
1042173,NCDS58,ncds9_derived,nd9aychh,(Derived) Age of youngest CM's child (<19,-1.0,Not applicable no child under 19 reported in HH
