variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9CNTRY,Country of Interview  (2013),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9GOR,Government Office Region of residence (2013),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9REGN,Standard Statistical Region (2013),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HSIZE,(Derived) Number of persons in CM's household,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9MS,(Derived) CM's legal marital status,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9COHAB,(Derived) Whether CM cohabiting as a couple,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PARTP,(Derived) Whether CM lives with a spouse or partner,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PAGE,(Derived) Age Of CM's Partner,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PID,(Derived) HH Number Of CM's Partner/Spouse/Civil Partner,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PSEX,(Derived) Gender Of CM's Partner,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9FATHN,(Derived) Whether CM's Father in HH (incl adoptive / step),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9MOTHN,(Derived) Whether CM's Mother in HH (incl adoptive / step),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NUMCH,(Derived) Number Of CM's children (incl step-children etc)in HH,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NMGCH,(Derived) Num CM's grandchildren in HH(N.B.Oth child DVs don't incl gchildren),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NOCHH,(Derived) Number of CM's own children in household,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NPCHH,(Derived) Number of children of current or previous partner in hhousehold,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9AYCHH,(Derived) Age of youngest CM's child (<19,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NC2H,(Derived) Number of CM's children (incl step-children etc)aged 0-2 in hhold,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NC4H,(Derived) Number of CM's children (incl step-children etc) aged 3-4 in hhold,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NC11H,(Derived) Number of CM's children (incl step-children etc) aged 5-11 in hhold,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NC15H,(Derived) Number of CM's children (incl step-children etc) aged 12-15 in hhold,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NACAB,(Derived) Number of absent children (including step-children etc),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NOCAB,(Derived) Number of absent children - own children only,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9TOTAC,(Derived) Total number of children (in HH or absent,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9TOTOC,(Derived) Total number of children (in HH or absent) - own children only,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9WCDIE,(Derived) Whether had any (own) children who have died,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NCDIE,(Derived) Number of own children who have died,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9TOTCE,(Derived) Total number of own children ever had,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9MALIV,(Derived) Whether mother alive,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PALIV,(Derived) Whether father alive,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9ECACT,(Derived) Current economic activity status,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9ECTBC,(Derived) Whether Current economic activity backcoded to non-'other' value,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9PEACT,(Derived) Partner's current economic activity status,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9WRBEN,(Derived) Whether receives any benefits,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9ACHQ1,(Derived) Highest Academic Qualification CM obtained in 2013 survey,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9ANVQ1,(Derived) Highest NVQ level from an academic qualification in 2013 survey,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9VNVQ1,(Derived) Highest NVQ Level from a Vocational Qualification in 2013 survey,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NVQ1,(Derived) Highest NVQ Level from an Academic or Vocational Qual in 2013 survey,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HACHQ,(Derived) Highest Academic Qualification up to 2013 (see var nd9hqflg),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HANVQ,(Derived) Highest NVQ level from acad qual up to 2013(see var nd9hqflg),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HVNVQ,(Derived) Highest NVQ Level from Voc Qual  up to 2013(see var nd9hqflg),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HNVQ,(Derived) Highest NVQ Level frm Acad/Voc Qual to 2013(see var nd9hqflg),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HQFLG,(Derived) Highest qualifications missing information flag,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9NUALC,(Derived) Number of units of alcohol consumed in last 7 days,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9HGHTM,(Derived) Height in metres,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9WGHTK,(Derived) Weight in kilograms,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9WGHTF,(Derived) Whether weight in kgs computed from stones data only (lbs missing),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9BMI,(Derived) Body mass index,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9WP12M,(Derived) Whether had period in last 12 months,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9ALSTP,(Derived) Age at last period,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9MLSTP,(Derived) Month of year at last period,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9DISEQ,(Derived) Disability classification Equality act (2010),2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
ND9DISLS,(Derived) Disability classification EU-SILC,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
V3,None,2022-01-08 13:01:52.833,ncds9_derived_v0001_20211101
