,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1042338,NCDS58,ncds9_employment,study_id_e,,,
1042339,NCDS58,ncds9_employment,n9actid,sortkey: employment record index,,
1042340,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,-9.0,Refused
1042341,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,-8.0,Don't know
1042342,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,-1.0,not applicable
1042343,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,1.0,Fixed term or temporary job ended
1042344,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,2.0,Made redundant
1042345,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,3.0,Voluntary redundancy
1042346,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,4.0,Dismissed from job
1042347,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,5.0,Retired
1042348,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,6.0,Left job for health reasons
1042349,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,7.0,Career break
1042350,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,8.0,More money
1042351,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,9.0,Better job
1042352,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,10.0,Firm closed down/ business failed
1042353,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,11.0,Left to care for family member
1042354,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,12.0,Moved to a different area
1042355,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,13.0,Just decided to leave
1042356,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,14.0,Harassment
1042357,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,15.0,Increased hours
1042358,NCDS58,ncds9_employment,n9ayend,Main reason stopped that period of employment/self-employment,16.0,Merger/aquisition/internal restructure
