variable_name,value_value,value_label,avail_from_dt,table_name
N9AS2010,4124,Finance officers,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4129,Financial administrative occupations n.e.c.,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4131,Records clerks and assistants,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4132,Pensions and insurance clerks and assistants,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4133,Stock control clerks and assistants,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4134,Transport and distribution clerks and assistants,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4135,Library clerks and assistants,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4138,Human resources administrative occupations,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4151,Sales administrators,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4159,Other administrative occupations n.e.c.,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4161,Office managers,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4162,Office supervisors,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4211,Medical secretaries,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4212,Legal secretaries,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4213,School secretaries,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4214,Company secretaries,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4215,Personal assistants and other secretaries,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4216,Receptionists,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,4217,Typists and related keyboard occupations,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,5111,Farmers,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,5112,Horticultural trades,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
N9AS2010,5113,Gardeners and landscape gardeners,2022-01-08 13:43:27.407,ncds9_employment_v0001_20211101
