,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1046297,NCDS58,ncds9_housing,study_id_e,,,
1046298,NCDS58,ncds9_housing,n9homeid,sortkey: housing record index,,
1046299,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,-9.0,Refused
1046300,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,-8.0,Don't know
1046301,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,0.0,Before 2000
1046302,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,1.0,January
1046303,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,2.0,February
1046304,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,3.0,March
1046305,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,4.0,April
1046306,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,5.0,May
1046307,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,6.0,June
1046308,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,7.0,July
1046309,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,8.0,August
1046310,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,9.0,September
1046311,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,10.0,October
1046312,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,11.0,November
1046313,NCDS58,ncds9_housing,n9homedm,When moved out of address or stopped travelling - Month,12.0,December
1046314,NCDS58,ncds9_housing,n9homedy,When moved out of address or stopped travelling - Year,-9.0,Refused
1046315,NCDS58,ncds9_housing,n9homedy,When moved out of address or stopped travelling - Year,-8.0,Don't know
1046316,NCDS58,ncds9_housing,n9homedy,When moved out of address or stopped travelling - Year,-1.0,Not applicable
1046317,NCDS58,ncds9_housing,n9homedy,When moved out of address or stopped travelling - Year,0.0,Before 2000
1046318,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,-9.0,Refused
1046319,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,-8.0,Don't know
1046320,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,-1.0,Not applicable
1046321,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,1.0,Wanted to buy
1046322,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,2.0,Wanted larger home
1046323,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,3.0,Wanted smaller home
1046324,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,4.0,Wanted better home
1046325,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,5.0,Job changed/to be nearer work
1046326,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,6.0,Moved for health reasons
1046327,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,7.0,Moved to better area
1046328,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,8.0,For children's education
1046329,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,9.0,Wanted place of own
1046330,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,10.0,Due to a relationship breakdown
1046331,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,11.0,Due to a new relationship
1046332,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,12.0,Moved in with friends or family
1046333,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,13.0,To be nearer relatives
1046334,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,14.0,Home too expensive
1046335,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,15.0,Problems with neighbours
1046336,NCDS58,ncds9_housing,n9homeg,Main reason moved out of address,16.0,Evicted/ home repossessed
