,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1043365,NCDS58,ncds9_persongrid,study_id_e,,,
1043366,NCDS58,ncds9_persongrid,n9gridid,HHgrid: person position,-1.0,Not applicable
1043367,NCDS58,ncds9_persongrid,n9gsex,HHgrid: person sex,-8.0,Not enough info
1043368,NCDS58,ncds9_persongrid,n9gsex,HHgrid: person sex,-1.0,Not applicable
1043369,NCDS58,ncds9_persongrid,n9gsex,HHgrid: person sex,1.0,Male
1043370,NCDS58,ncds9_persongrid,n9gsex,HHgrid: person sex,2.0,Female
1043371,NCDS58,ncds9_persongrid,n9gdied,HHgrid: whether household member had died,-1.0,Not applicable
1043372,NCDS58,ncds9_persongrid,n9gdied,HHgrid: whether household member had died,0.0,No
1043373,NCDS58,ncds9_persongrid,n9gdied,HHgrid: whether household member had died,1.0,Yes
1043374,NCDS58,ncds9_persongrid,n9gslive,HHgrid: whether person living with CM at interview,-8.0,Not enough info
1043375,NCDS58,ncds9_persongrid,n9gslive,HHgrid: whether person living with CM at interview,-1.0,Not applicable
1043376,NCDS58,ncds9_persongrid,n9gslive,HHgrid: whether person living with CM at interview,0.0,No
1043377,NCDS58,ncds9_persongrid,n9gslive,HHgrid: whether person living with CM at interview,1.0,Yes
1043378,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,-9.0,Refused
1043379,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,-8.0,Not enough info
1043380,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,-7.0,Answer not given
1043381,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,-1.0,Not applicable
1043382,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,1.0,Spouse
1043383,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,2.0,Civil partner
1043384,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,3.0,Cohabiting partner
1043385,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,4.0,your own child
1043386,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,5.0,your adopted child
1043387,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,6.0,child of your current spouse/partner
1043388,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,7.0,child of a previous spouse/partner
1043389,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,8.0,your foster child
1043390,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,9.0,Full brother/sister
1043391,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,10.0,Half/adopted/step brother/sister
1043392,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,11.0,Brother/sister in-law
1043393,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,12.0,Natural mother
1043394,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,13.0,Adoptive mother
1043395,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,14.0,Natural father
1043396,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,15.0,Adoptive father
1043397,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,16.0,Step mother
1043398,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,17.0,Step father
1043399,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,18.0,Parent in-law
1043400,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,19.0,Grandparent
1043401,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,20.0,Grandchild
1043402,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,21.0,Other blood relative
1043403,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,22.0,Other In-Law
1043404,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,23.0,Friend/Unrelated Sharer
1043405,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,24.0,Landlord
1043406,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,25.0,Lodger
1043407,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,26.0,Employer
1043408,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,27.0,"Nanny, Au Pair etc"
1043409,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,28.0,Child of non rel adult living in the HH
1043410,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,29.0,Other
1043411,NCDS58,ncds9_persongrid,n9grtok,HHgrid: Person's relationship to CM,30.0,Non-natural absent child
1043412,NCDS58,ncds9_persongrid,n9gdiedy,HHgrid: Date person died (if reported dead at this sweep) - year,-9.0,Refused
