,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1043496,NCDS58,ncds9_qualifications,study_id_e,,,
1043497,NCDS58,ncds9_qualifications,n9qualid,sortkey:qualifications record index,,
1043498,NCDS58,ncds9_qualifications,n9whquid,Index number within qualification,,
1043499,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,-1.0,Not applicable
1043500,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,1.0,GCSE1
1043501,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,2.0,GCSE2
1043502,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,3.0,AS LEVELS 1
1043503,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,4.0,AS LEVELS 2
1043504,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,5.0,A LEVELS 1
1043505,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,6.0,A LEVELS 2
1043506,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,7.0,DEGREE
1043507,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,8.0,DEGREE LEVEL QUALIFICATIONS
1043508,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,9.0,HIGHER DEGREE
1043509,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,10.0,NURSING QUALIFICATIONS
1043510,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,11.0,TEACHING QUALIFICATIONS
1043511,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,12.0,BTEC
1043512,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,13.0,CITY
1043513,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,14.0,RSA
1043514,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,15.0,PITMAN
1043515,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,16.0,NVQ
1043516,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,17.0,GNVQ
1043517,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,18.0,ONC
1043518,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,19.0,HNC
1043519,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,20.0,APPRENTICESHIPS
1043520,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,21.0,OTHER VOCATIONAL QUALIFICATIONS
1043521,NCDS58,ncds9_qualifications,n9qualtp,Type of qualification,22.0,ACCESS3
